Row,Value,Uncertainty,Unit
Vf,10.2685707492808,0.0085843333333333,V
Vp,14.8076654285714,0.281177717093583,V
Te,1.22184616309581,0.0156959553719276,eV
n,1.49215248367877e+17,2.8609520646887e+17,m-3
ne,1.53133167767843e+16,NaN,m-3
ni,4.19913037894991e+17,0,m-3
Ie_sat,0.0012271628025912,NaN,A
Ii_sat,-0.000487161540039594,9.45021969834417e-05,A
