Row,Value,Uncertainty,Unit
Vf,11.3142914325619,0.0558886666666663,V
Vp,16.2761192,0.247669377586652,V
Te,1.14743026800392,0.0443871936214114,eV
n,1.20901998947878e+17,2.2721883610259e+17,m-3
ne,1.67250013639857e+16,NaN,m-3
ni,3.38060961006898e+17,0,m-3
Ie_sat,0.0012988349431801,NaN,A
Ii_sat,-0.000392777271961762,7.75396775368423e-05,A
