comparison,candidate_model,reference_model,log_bayes_factor,log10_bayes_factor,bayes_factor
oml_vs_linear,oml,linear,-175.17092248592905,-76.07576502554123,8.399142981332923e-77
transitional_vs_linear,transitional,linear,-189.52142860599804,-82.30811064600604,4.919141938290272e-83
