bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-20.999941,-1.7476607853158365e-05,-2.1070928144791563e-05,-1.4788472791180307e-05,-2.359250706028128e-05,-1.4332054847970444e-05,1.0
-9.82213,-1.4542665971223056e-05,-1.7570412541190624e-05,-1.2308842152225834e-05,-1.9661161972943352e-05,-1.1902989780208332e-05,1.0
-9.654826,-1.449424129994651e-05,-1.7512704598352382e-05,-1.2267921833369715e-05,-1.9596316820846928e-05,-1.1862854826414378e-05,1.0
-9.49043,-1.4446500114563001e-05,-1.7455813875019745e-05,-1.22275793751615e-05,-1.9532387355602003e-05,-1.1823284737360838e-05,1.0
-9.317453,-1.4396095920338422e-05,-1.7395752745148384e-05,-1.2184986943871803e-05,-1.9464892268836428e-05,-1.1781505675653905e-05,1.0
-9.15084,-1.4347378581243757e-05,-1.7337704604735052e-05,-1.2143820282406585e-05,-1.9399656080897796e-05,-1.1741123106488104e-05,1.0
-8.986071,-1.4299037020083538e-05,-1.7280107144136784e-05,-1.2102971521600775e-05,-1.9334923098123322e-05,-1.1701050366505585e-05,1.0
-8.820972,-1.4250433967397178e-05,-1.7222201121724064e-05,-1.2061902186581339e-05,-1.9269839576212902e-05,-1.1660759194672886e-05,1.0
-8.647822,-1.4199281829860599e-05,-1.716126141933186e-05,-1.2018679337093051e-05,-1.9201342122751557e-05,-1.1618353065593762e-05,1.0
-8.484463,-1.4150852367179801e-05,-1.710356857805778e-05,-1.197775757715378e-05,-1.913648961487869e-05,-1.1578202395441442e-05,1.0
-8.318151,-1.4101376266623654e-05,-1.7044632232539638e-05,-1.1935951945896058e-05,-1.9070234529850173e-05,-1.1537182322415284e-05,1.0
-8.151701,-1.405168430974657e-05,-1.698544223199323e-05,-1.1893964485421375e-05,-1.9003688644565516e-05,-1.1495981579651223e-05,1.0
-7.986476,-1.4002183213285486e-05,-1.69264831439614e-05,-1.185213890792619e-05,-1.8937396603820618e-05,-1.1454937409623276e-05,1.0
-7.814808,-1.3950565187199834e-05,-1.686500659860943e-05,-1.1808525380958737e-05,-1.8868266804833726e-05,-1.1412136237812696e-05,1.0
-7.652228,-1.3901502449224313e-05,-1.6806577253185083e-05,-1.1767071659493792e-05,-1.8802556533243268e-05,-1.1371452281820226e-05,1.0
-7.482001,-1.384994501868232e-05,-1.674518117815907e-05,-1.1723511031228721e-05,-1.8733501219088384e-05,-1.1328698030663286e-05,1.0
-7.317227,-1.379985483511835e-05,-1.6685536673794455e-05,-1.1681191046735535e-05,-1.8666407171539622e-05,-1.1287158947586437e-05,1.0
-7.148155,-1.3748267309744724e-05,-1.6624113950502024e-05,-1.1637607155564922e-05,-1.859730228632876e-05,-1.1244376653404275e-05,1.0
-6.983977,-1.3697985916796062e-05,-1.6564251214674652e-05,-1.1595128011387699e-05,-1.8529941664154786e-05,-1.1202676185210296e-05,1.0
-6.819113,-1.364730662459292e-05,-1.6503919853557495e-05,-1.1552314113006887e-05,-1.846204125427002e-05,-1.1160644442321659e-05,1.0
-6.649852,-1.359507746265293e-05,-1.6441749112072426e-05,-1.1508192538251185e-05,-1.8392056829401258e-05,-1.111732608350642e-05,1.0
-6.48314,-1.3543435899162513e-05,-1.638028397286112e-05,-1.1464569309592923e-05,-1.8322850823243356e-05,-1.1074494118573255e-05,1.0
-6.314609,-1.349102758624354e-05,-1.6317912859398647e-05,-1.1420300589060323e-05,-1.8252607417332016e-05,-1.1031025371259637e-05,1.0
-6.148465,-1.3439158809496554e-05,-1.625619089902509e-05,-1.137649006806713e-05,-1.8183075659367055e-05,-1.0988003534356148e-05,1.0
-5.977905,-1.3385699026108676e-05,-1.6192583675269443e-05,-1.1331338660561395e-05,-1.8111397992778297e-05,-1.0943661726290786e-05,1.0
-5.813132,-1.3333845694259743e-05,-1.6130896408491696e-05,-1.1287547419814548e-05,-1.8041860043004342e-05,-1.0900652512996254e-05,1.0
-5.642165,-1.3279824582504561e-05,-1.6066639874918545e-05,-1.1241929352909998e-05,-1.796939807226971e-05,-1.085584569326572e-05,1.0
-5.480146,-1.3228422248806444e-05,-1.6005508296328256e-05,-1.1198526920696037e-05,-1.7900431268738794e-05,-1.0813211788826658e-05,1.0
-5.316238,-1.317621077972784e-05,-1.594342545511198e-05,-1.1154446119280501e-05,-1.7830359104744117e-05,-1.07699081726269e-05,1.0
-5.143274,-1.3120881626257311e-05,-1.5877649252053874e-05,-1.1107739481347945e-05,-1.7756079430685e-05,-1.0724021223139858e-05,1.0
-4.979481,-1.3068262132341704e-05,-1.581510845818765e-05,-1.1063326826580257e-05,-1.768541169564787e-05,-1.0680384268822994e-05,1.0
