parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,9.935061063208734,9.935061063208734,0.0,9.935061063208734,9.935061063208734,9.935061063208734,9.935061063208734
Vp,15.715638152302239,15.68879695638727,0.14165492600809151,15.464747743481624,15.837175419930453,15.455898719644015,15.844969190589476
Ie_sat,0.001722344347867073,0.0017069978199779074,7.60177422375002e-05,0.0015788632465456095,0.0017823268505115855,0.0015718979394895446,0.0017863492294944773
ne,8849196320472236.0,8859004065745158.0,353202166990257.3,8519730905937028.0,9210595026306472.0,8300816439441877.0,9467230320386138.0
ni,,,,,,,
Te,2.4604680981099745,2.446029437394734,0.06328588999091908,2.3653750602168317,2.5100243687572905,2.3004362956967817,2.5158471102652316
p,1.8445682796107534,1.8663315400244258,0.1011156660215028,1.8009261278294755,1.9709496463167915,1.6460413631574655,1.9749511427654414
I1,-8.256524404002749e-06,-8.223225365225051e-06,4.6550052488006054e-07,-8.532728658103587e-06,-7.864402145696088e-06,-9.045995643184186e-06,-7.084366312664953e-06
I2,-6.11602254979686e-05,-5.8788560446810644e-05,7.87746879533563e-06,-6.327334956077356e-05,-5.2629494132334226e-05,-7.728449478395339e-05,-4.6102426544424584e-05
log10_sigma_I,-4.727542372248575,-4.7337111991580425,0.03224398149041428,-4.760747369652283,-4.7165158984993,-4.7939808899658996,-4.674761257711493
sigma_I,1.8726999300468112e-05,1.851181269408976e-05,1.3640591892737016e-06,1.7348128499179668e-05,1.9208086441792028e-05,1.607011963968373e-05,2.1146870735298243e-05
