,Value,Uncertainty,Unit
Vf,9.589266975476715,0.055414000000000144,V
Vp,15.4905105,0.48154992276476394,V
Te,1.4152671999642699,0.035222772274768846,eV
n,6.7258871100600136e+16,7.977203697819653e+16,m-3
ne,1.1281469659269357e+17,2.9344346478752764e+16,m-3
ni,1.982198625303983e-11,0.0,m-3
Ie_sat,0.001465679200033871,0.0003808027955605675,A
Ii_sat,-0.00029180639984809846,8.275594570211891e-05,A
