parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,10.458458258826758,10.458458258826758,0.0,10.458458258826758,10.458458258826758,10.458458258826758,10.458458258826758
Vp,16.623896131095243,16.62078747396539,0.023214699532018213,16.59700991299371,16.64239395101659,16.570173559011025,16.658107930691088
Ie_sat,0.0016477849002782042,0.001646373788245912,1.0723355542406655e-05,0.0016352734098068835,0.001656392853126469,0.0016234503191359484,0.0016637053470674743
ne,8062377628283583.0,8072314839804997.0,93796203536462.33,7994465070921825.0,8143796064887475.0,7891019846764010.0,8225053543757961.0
ni,,,,,,,
Te,2.9451871372628258,2.9484809978760547,0.03701861673913258,2.9114619170176947,2.976999482508162,2.8820042632800495,3.0057407843516732
p,1.551180896795708,1.5578024763597464,0.11848575951458634,1.4520856139792262,1.6524544452209795,1.3567662469696258,1.818945189787475
I1,-1.116005355017533e-05,-1.1148055466542003e-05,5.045716010240792e-07,-1.171806751693018e-05,-1.084558195978672e-05,-1.1932330318322088e-05,-9.853038166927755e-06
I2,-0.0001061048938015216,-0.00010535725655104969,1.0606248005063432e-05,-0.00011086060035791351,-9.211436465255986e-05,-0.00013311984616708937,-8.958639164601777e-05
log10_sigma_I,-4.948935569926537,-4.950946457429366,0.03785785756941146,-4.9973317430437545,-4.914347389178666,-5.015680379285539,-4.879337634385162
sigma_I,1.124771827931651e-05,1.123767705346452e-05,9.943875439742408e-07,1.0062687171010469e-05,1.2180965961838216e-05,9.64558728412218e-06,1.3207061060187704e-05
