energy_ev,g_e_median,g_e_q16,g_e_q84,g_e_q2.25,g_e_q97.75,g_e_valid_fraction
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0321285140562249,0.5742467073186649,0.49830702775469354,0.7047347981383068,0.4554883233732175,0.8063014807885666,1.0
0.0642570281124498,0.7793751179787552,0.6840110430637664,0.9555023520428442,0.634718505857805,1.058784683089523,1.0
0.09638554216867469,0.9143051238097135,0.8087983351791668,1.1129506428250442,0.7621027964254357,1.2274833724275114,1.0
0.1285140562248996,1.0259225470325564,0.8980660851148692,1.2162192372780654,0.8590320279079251,1.3700598482594288,1.0
0.1606425702811245,1.109975323556036,0.9623766492723569,1.2986733701421678,0.9339709039998602,1.4619916048754897,1.0
0.19277108433734938,1.1552425561483766,1.00763551160276,1.3183939965161078,0.9914596238104965,1.4645266684288907,1.0
0.22489959839357426,1.1734380731544156,1.0393884102482687,1.331792869185175,1.0265089918883232,1.4776890146953856,1.0
0.2570281124497992,1.1866966153873801,1.0596859574755844,1.3412559111552793,1.044622104513919,1.5100982999293697,1.0
0.2891566265060241,1.1899374112450514,1.0695557037938415,1.3476505792838955,1.052606864229352,1.522073348929571,1.0
0.321285140562249,1.1859563373132886,1.070636729465527,1.342618745644731,1.0521398360573837,1.5156584667366073,1.0
0.35341365461847385,1.174038809631641,1.0595131778985742,1.314745115764986,1.0446049365695922,1.4928713504089897,1.0
0.38554216867469876,1.154523014859876,1.0413383242246157,1.2886638366960723,1.0311684263110819,1.4557391770349453,1.0
0.41767068273092367,1.1286711436549532,1.0198208980546943,1.2362833484722702,1.007368043561584,1.406300533211042,1.0
0.4497991967871485,1.097047964092085,0.9965621520586344,1.17915683462322,0.97068990245208,1.34658849553435,1.0
0.48192771084337344,1.0556242485556908,0.9700073751177952,1.1187373507170664,0.9326907155902647,1.278603908149019,1.0
0.5140562248995983,1.0156040351213262,0.940820835228136,1.057302872930364,0.8923922034929446,1.1960491796368493,1.0
0.5461847389558232,0.9719341254208276,0.9044498649270434,0.995190578718358,0.8500826573459007,1.1038591224769838,1.0
0.5783132530120482,0.9223451132089848,0.8629852132192514,0.9576028200802674,0.8075162832955026,1.0427212347083166,1.0
0.610441767068273,0.8657701805762892,0.8205801546619027,0.9075909932125709,0.7658142017363319,0.9701749382818722,1.0
0.642570281124498,0.8083050988524841,0.7775096834046201,0.8515462772388994,0.7251853308683002,0.893712338935237,1.0
0.6746987951807228,0.7733136167670761,0.7332510447790733,0.8065544126997884,0.6802864516827821,0.8498566269773922,1.0
0.7068273092369477,0.7356815281616816,0.6843062488901117,0.7600760695188268,0.6362710633399608,0.8045203485949497,1.0
0.7389558232931727,0.6957633965121447,0.6318253037160736,0.7156031659954075,0.5631518694287366,0.7552431908605383,1.0
0.7710843373493975,0.6461826770871226,0.5855874011639941,0.6719540567666924,0.5051805695015708,0.7106174723663984,1.0
0.8032128514056224,0.6012456724423676,0.539696547823026,0.6346794230343128,0.464185891698376,0.6665902117964647,1.0
0.8353413654618473,0.5667929728444513,0.4947435236968334,0.6013374830835821,0.42607903107323425,0.6234476361642649,1.0
0.8674698795180722,0.5280502483779603,0.45583436505074765,0.5688112575398736,0.38687450558320907,0.5916988569060918,1.0
0.899598393574297,0.4934226269566051,0.42298342503062203,0.5372018685239716,0.3351703487265698,0.5617396340603854,1.0
0.931726907630522,0.458224947561799,0.3920852726813256,0.5065899581808583,0.2885316927724516,0.5294709848430645,1.0
0.9638554216867469,0.42409435970851805,0.3582435458141507,0.4770380268237445,0.24681768236604879,0.4942850839856797,1.0
0.9959839357429718,0.39177521044366226,0.32036650925541865,0.4485925600555883,0.20981390870679953,0.4603967320851201,1.0
1.0281124497991967,0.36375122336804494,0.2854838465796915,0.42128596327781215,0.17725002056182057,0.4278922811816169,1.0
1.0602409638554215,0.33797119829721456,0.25351703919038865,0.3946366402701295,0.14881598781629374,0.39918539915622125,1.0
1.0923694779116464,0.31367943094070805,0.2251750182376778,0.3686537459007714,0.12417669515009834,0.37432071404784295,1.0
1.1244979919678715,0.28784935372634024,0.20119423362738026,0.3439202850705648,0.10298466266120528,0.3505934941874962,1.0
