Time,Thickness
0.0,0.0
1.0,-1.5416687209860397e-05
2.0,-1.5416687209860397e-05
3.0,-3.083337427485654e-05
4.0,-3.083337427485654e-05
5.0,-3.083337427485654e-05
6.0,-3.083337427485654e-05
7.0,-3.083337427485654e-05
8.0,-3.083337427485654e-05
9.0,-3.083337427485654e-05
10.0,-1.5416687209860397e-05
11.0,-3.083337427485654e-05
12.0,-1.5416687209860397e-05
13.0,-1.5416687209860397e-05
14.0,-1.5416687209860397e-05
15.0,0.0
16.0,0.0
17.0,0.0
18.0,1.5416687354724597e-05
19.0,1.5416687354724597e-05
20.0,1.5416687354724597e-05
21.0,-1.5416687209860397e-05
22.0,0.0
23.0,1.5416687354724597e-05
24.0,0.0
25.0,0.0
26.0,-1.5416687209860397e-05
27.0,-1.5416687209860397e-05
28.0,0.0
29.0,-1.5416687209860397e-05
30.0,-1.5416687209860397e-05
31.0,0.0
32.0,-1.5416687209860397e-05
33.0,0.0
34.0,0.0
35.0,1.5416687354724597e-05
36.0,1.5416687354724597e-05
37.0,1.5416687354724597e-05
38.0,1.5416687354724597e-05
39.0,0.0
40.0,0.0
41.0,-1.5416687209860397e-05
42.0,6.166675028808294e-05
43.0,0.0
44.0,0.0
45.0,0.0
46.0,-1.5416687209860397e-05
47.0,0.0
48.0,0.0
49.0,1.5416687354724597e-05
50.0,0.0
51.0,0.0
52.0,1.5416687354724597e-05
53.0,0.0
54.0,1.5416687354724597e-05
55.0,1.5416687354724597e-05
56.0,1.5416687354724597e-05
57.0,1.5416687354724597e-05
58.0,-1.5416687209860397e-05
59.0,0.0
60.0,1.5416687354724597e-05
61.0,1.5416687354724597e-05
62.0,1.5416687354724597e-05
63.0,0.0
64.0,0.0
65.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,0.0
70.0,-1.5416687209860397e-05
71.0,0.0
72.0,-1.5416687209860397e-05
73.0,-1.5416687209860397e-05
74.0,0.0
75.0,0.0
76.0,1.5416687354724597e-05
77.0,0.0
78.0,0.0
79.0,-1.5416687209860397e-05
80.0,-3.083337427485654e-05
81.0,-3.083337427485654e-05
82.0,-1.5416687209860397e-05
83.0,-3.083337427485654e-05
84.0,-1.5416687209860397e-05
85.0,-1.5416687209860397e-05
86.0,-1.5416687209860397e-05
87.0,7.708343822226373e-05
88.0,-1.5416687209860397e-05
89.0,-1.5416687209860397e-05
90.0,-3.083337427485654e-05
91.0,-1.5416687209860397e-05
92.0,0.0
93.0,0.0
94.0,-1.5416687209860397e-05
95.0,-1.5416687209860397e-05
96.0,0.0
97.0,-1.5416687209860397e-05
98.0,3.0833374854313335e-05
99.0,1.5416687354724597e-05
100.0,3.0833374854313335e-05
101.0,6.166675028808294e-05
102.0,4.625006249876614e-05
103.0,6.166675028808294e-05
104.0,6.166675028808294e-05
105.0,6.166675028808294e-05
106.0,6.166675028808294e-05
107.0,6.166675028808294e-05
108.0,6.166675028808294e-05
109.0,6.166675028808294e-05
110.0,4.625006249876614e-05
111.0,3.0833374854313335e-05
112.0,4.625006249876614e-05
114.0,3.0833374854313335e-05
115.0,3.0833374854313335e-05
116.0,4.625006249876614e-05
117.0,3.0833374854313335e-05
118.0,4.625006249876614e-05
119.0,4.625006249876614e-05
120.0,6.166675028808294e-05
121.0,6.166675028808294e-05
122.0,3.0833374854313335e-05
123.0,3.0833374854313335e-05
124.0,3.0833374854313335e-05
125.0,3.0833374854313335e-05
126.0,3.0833374854313335e-05
127.0,3.0833374854313335e-05
128.0,3.0833374854313335e-05
129.0,3.0833374854313335e-05
130.0,1.5416687354724597e-05
131.0,4.625006249876614e-05
132.0,3.0833374854313335e-05
133.0,3.0833374854313335e-05
134.0,1.5416687354724597e-05
135.0,3.0833374854313335e-05
136.0,3.0833374854313335e-05
137.0,4.625006249876614e-05
138.0,3.0833374854313335e-05
139.0,3.0833374854313335e-05
140.0,4.625006249876614e-05
141.0,3.0833374854313335e-05
