energy_ev,g_e_median,g_e_q16,g_e_q84,g_e_q2.25,g_e_q97.75,g_e_valid_fraction
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.10046123329523303,0.1072613033975468,0.04638130751195329,0.19029901639278993,0.037154845875681256,0.34049207587747277,1.0
0.20092246659046606,0.14750538196600077,0.06491311118499807,0.260508254176176,0.05239146164389434,0.45483654146943503,1.0
0.3013836998856991,0.17514144412313964,0.07853905706369899,0.31120022244814427,0.06390717003327416,0.5207331848325516,1.0
0.4018449331809321,0.1956373323463677,0.08947321660955257,0.3487727309434797,0.07342521017416818,0.5599260855060204,1.0
0.5023061664761651,0.211227514795602,0.09858753512509343,0.3767282885710985,0.08161148861291355,0.5866022869182157,1.0
0.6027673997713981,0.22312859460889986,0.10633839053383638,0.3969513354498519,0.08880699934375111,0.5968193364316453,1.0
0.7032286330666312,0.23211122158717692,0.11300353030638471,0.41066000254438983,0.0952142906794255,0.5937972398725805,1.0
0.8036898663618642,0.23871203345760778,0.11876903807551402,0.41658887805528444,0.10096559526115827,0.5802251321776349,1.0
0.9041510996570973,0.2433295344351395,0.12376827355813676,0.4117050081149018,0.10615318871327703,0.5584462715658112,1.0
1.0046123329523302,0.24627352380092782,0.12810172110004853,0.40345214771441,0.11084478434885027,0.530526452399641,1.0
1.1050735662475633,0.24779308156081026,0.13184808514233345,0.3925659593139316,0.11509209097074587,0.49827727233021796,1.0
1.2055347995427963,0.24809358393003406,0.13507093893778752,0.3796554411744898,0.11893590972593424,0.4632638805429902,1.0
1.3059960328380293,0.24734765058613836,0.1378229313589032,0.3652286150998213,0.12240933729426066,0.4162439565352569,1.0
1.4064572661332624,0.24570252166323253,0.14014856797268732,0.3301028030259905,0.12553986752333984,0.3981764355285966,1.0
1.5069184994284954,0.24328522610670217,0.14208611732828738,0.3025847964117856,0.12807113569279402,0.3671074649847704,1.0
1.6073797327237285,0.23119438116090923,0.14366895800347856,0.2910857945291218,0.13012898702291148,0.33622879510288617,1.0
1.7078409660189615,0.22943492650314473,0.14492655556268852,0.27930651292263947,0.13190491750419198,0.31001401021586095,1.0
1.8083021993141946,0.22713264155427554,0.14578717040088526,0.2673855616477446,0.13341825543107821,0.2918021785015881,1.0
1.9087634326094276,0.22456113534286387,0.14656849041971404,0.25518951553917396,0.12575566862641765,0.27372277700994097,1.0
2.0092246659046604,0.2127764062319621,0.1469978846128884,0.2435580911943433,0.1243785683843145,0.2559417218848291,1.0
2.1096858991998935,0.1923242143070391,0.14705504122374707,0.23182418000063149,0.12346125814522856,0.23859447538108758,1.0
2.2101471324951265,0.1775648045505593,0.14688948560204484,0.22080016800961336,0.12291877120772886,0.2260573033858164,1.0
2.3106083657903596,0.1760576952744557,0.14640454353316085,0.2147201529531693,0.12266680281886917,0.22055399203815276,1.0
2.4110695990855926,0.17445478261749126,0.14035437363207975,0.20836307951379557,0.11395047069730928,0.20939253854109505,1.0
2.5115308323808256,0.17177791619894528,0.1389685320130658,0.2021395386280236,0.09822547439932681,0.2047375994730872,1.0
2.6119920656760587,0.16868924794512483,0.13930086895660643,0.19571979508142287,0.08433900550967471,0.20100187262105917,1.0
2.7124532989712917,0.16183148154345167,0.13990596780327133,0.18926043864750497,0.07213732271321861,0.19702176890861103,1.0
2.8129145322665248,0.15651100918418115,0.13740020172211995,0.18279164933290393,0.06146705801060788,0.19282763080156845,1.0
2.913375765561758,0.1486086094504008,0.12688492013538835,0.176340159781149,0.05217880629061752,0.18844812485953277,1.0
3.013836998856991,0.1414593031681698,0.11775495907166499,0.16992956198361256,0.0441296092769572,0.18391029362748457,1.0
3.114298232152224,0.14020911167354028,0.10906658877164882,0.16358058550267005,0.037184594431749485,0.1792396030747017,1.0
3.214759465447457,0.13855758193152448,0.10020965936720466,0.15731135086387643,0.031217978711887213,0.17445998718730063,1.0
3.31522069874269,0.13704424160733278,0.09196086006767344,0.15113760109090796,0.02611360050961673,0.1695938908981785,1.0
3.415681932037923,0.1354504897809273,0.08429440312656092,0.14749570048613425,0.021765103635634518,0.16466231221408598,1.0
3.516143165333156,0.13378378091372092,0.07718307056971042,0.14431454196218024,0.01807586577264977,0.1596848441499331,1.0
3.616604398628389,0.13205114451513644,0.07059875856433223,0.14116894339680638,0.014958740045147596,0.1546797168876036,1.0
3.717065631923622,0.1276405045477457,0.06451293492264996,0.13850640432498915,0.012335661074531734,0.149224588521039,1.0
3.817526865218855,0.12245985898599315,0.058897020001039094,0.1358560749887905,0.010137154690299743,0.14374743993975775,1.0
3.9179880985140882,0.11749913240831297,0.05372270030110536,0.1334971241183713,0.008301781947704158,0.1401165143201685,1.0
4.018449331809321,0.11267088772267203,0.048962183194791835,0.1313748416828408,0.0067755420666647664,0.13663888581822442,1.0
4.118910565104554,0.1079779255544982,0.04458840037550387,0.12865431889972245,0.005511254440067283,0.1354713310677577,1.0
4.219371798399787,0.10342222918885562,0.04057516687711193,0.12602561201918405,0.004467936325616318,0.1342083644592046,1.0
4.31983303169502,0.09900504988365225,0.03689730179917476,0.1231095965658699,0.003610189836417964,0.1328547787811902,1.0
4.420294264990253,0.09472698505581689,0.033530716226998956,0.12033391582277875,0.0029076091650226807,0.13141534246107262,1.0
4.520755498285486,0.09058804991954444,0.030452473236689197,0.11795148237160794,0.0023342165202903157,0.12983946649374972,1.0
4.621216731580719,0.08658774309955405,0.027640824325742247,0.11555593476751218,0.0018679330056704854,0.1276916850627684,1.0
4.721677964875952,0.0827251066937004,0.025075226106645507,0.11315165031466544,0.0014900886360766966,0.12548870430995904,1.0
4.822139198171185,0.07899878121690498,0.022736340641988782,0.11057552415785976,0.0011849739030706092,0.1232361050122825,1.0
4.922600431466418,0.0754070558211811,0.02060602238239795,0.10782376999224448,0.0009394337742208641,0.12093931434140004,1.0
5.023061664761651,0.07194791415365678,0.018667294290730524,0.10489543461646673,0.0007425037601620179,0.1186036024756111,1.0
5.123522898056884,0.06861907618527484,0.01690431539500752,0.10197800466736946,0.0005850866967344872,0.11623407949337504,1.0
5.223984131352117,0.06541803631670223,0.015302341706052209,0.09977583726282747,0.00045966815273603296,0.1138356925754913,1.0
5.32444536464735,0.062342098044464264,0.013847682161356067,0.09768270649630058,0.0003600678608580064,0.11141322353722331,1.0
5.4249065979425835,0.05938840544905405,0.012527651011915025,0.09559873187108464,0.00028122424981699993,0.10897128670653275,1.0
5.5253678312378165,0.05655397174744925,0.011330517851355809,0.09351399122984598,0.00021900899700928633,0.10651432716006037,1.0
5.6258290645330495,0.053835705134844064,0.010245456294356258,0.09138500673563707,0.00017006849112798255,0.10404661932446964,1.0
5.726290297828283,0.05123043212425891,0.009262492141993407,0.08927324471892578,0.00013168916317913347,0.10157226594720382,1.0
5.826751531123516,0.04873491857785307,0.008372451723166687,0.08718045912189937,0.00010168378555358405,0.0990951974375402,1.0
5.927212764418749,0.04624547398389885,0.007566910971683938,0.08510826477908971,7.829602938947163e-05,0.09661917157601738,1.0
6.027673997713982,0.04362147278311701,0.006838145686121078,0.0830581441133751,6.012079145073296e-05,0.0941477735878266,1.0
6.128135231009215,0.0411194521609312,0.006179083322444146,0.08107401004388015,4.603803797459701e-05,0.0916844165735615,1.0
6.228596464304448,0.038735961857228926,0.005583256586004611,0.07914226725351209,3.5158152669058044e-05,0.08923234228878935,1.0
6.329057697599681,0.03646745324910057,0.00504475901839267,0.0772342016535251,2.677701054661415e-05,0.08700001006981072,1.0
6.429518930894914,0.034310302609892325,0.004558202714382456,0.07535077455897576,2.0339222393206586e-05,0.08490653893868434,1.0
6.529980164190147,0.03226083248905013,0.004118678253563354,0.07349285300178876,1.5408202319921564e-05,0.08282541482565847,1.0
6.63044139748538,0.030315331293913592,0.003721716889069566,0.07166121463293253,1.164190063356714e-05,0.08075865047706907,1.0
6.730902630780613,0.028470071155073717,0.003363255001045548,0.06985655242198796,8.773215092383018e-06,0.07870814182384486,1.0
6.831363864075846,0.02672132415705112,0.003039600794167604,0.06807947916257624,6.594245358529594e-06,0.07667567043685303,1.0
6.931825097371079,0.025065377015883857,0.0027474031958252664,0.06633053179155603,4.943688692352063e-06,0.07466290605877748,1.0
7.032286330666312,0.023498544284746847,0.002483622893680963,0.0646101755294045,3.696790703648707e-06,0.07267140920673662,1.0
7.132747563961545,0.022017180167970194,0.0022455054375856006,0.06291880784875618,2.7573646301838166e-06,0.07070263383964422,1.0
7.233208797256778,0.020617689022795843,0.0020305563206195086,0.06125676227767837,2.0514776629961538e-06,0.06875793008416399,1.0
7.333670030552011,0.01929653462693043,0.0018365179468103744,0.059624312043910326,1.522474849581517e-06,0.06683854701300858,1.0
7.434131263847244,0.018050248288434274,0.001661348388374499,0.05802167356597384,1.1270716311606572e-06,0.06494563546927629,1.0
7.534592497142477,0.016875435872754835,0.0015032018327143792,0.05644900979677732,8.3229659193433e-07,0.06308025093050297,1.0
7.63505373043771,0.01576878381978669,0.0013604106185173598,0.0549064334250737,6.131078973315454e-07,0.06124335640612491,1.0
7.7355149637329434,0.01472706422174334,0.0012314687608171119,0.05339400993989711,4.5054143400614927e-07,0.05943582536209977,1.0
7.8359761970281765,0.013747139030378889,0.0011150168665253187,0.051911760562886,3.302769654393897e-07,0.057658444666513715,1.0
7.9364374303234095,0.012825963459722483,0.0010098283444769517,0.05030123347243512,2.4153168050260243e-07,0.05597461253059081,1.0
8.036898663618642,0.011960588648006035,0.0009147968172547972,0.048654668181418996,1.762092078684856e-07,0.05445868062404514,1.0
8.137359896913875,0.011148163639897662,0.0008289246457939675,0.04731589702895216,1.2824724681713175e-07,0.052969145291145214,1.0
8.237821130209108,0.010385936747517702,0.0007513124818681965,0.04600569941545513,9.311906527811251e-08,0.05150628754578109,1.0
8.33828236350434,0.00967125634603178,0.0006811497679036854,0.04472387348691467,6.74537808810704e-08,0.05007034007062892,1.0
8.438743596799574,0.00900157115690221,0.0006177061080510614,0.043470193658228566,4.8748025186664805e-08,0.04866148938334356,1.0
8.539204830094807,0.008374430069153517,0.0005603234389870633,0.04224441248245758,3.5147673894443045e-08,0.047279877959302725,1.0
8.63966606339004,0.00783477612420569,0.0005084089334467291,0.041046262424896895,2.528311982742228e-08,0.0459256063105169,1.0
8.740127296685273,0.007330394385647425,0.0004614285739488796,0.03987545754603945,1.8145328053583294e-08,0.0445987350203058,1.0
8.840588529980506,0.00685647790442758,0.0004189013385294302,0.038726066801161634,1.2992853498093842e-08,0.04329928673333726,1.0
8.941049763275739,0.006411346870166497,0.00038039394450507563,0.037557368522933926,9.282291076409381e-09,0.04202724810062824,1.0
9.041510996570972,0.00599340113835784,0.0003455161003293037,0.03641689586977427,6.616404056721087e-09,0.04078257167911889,1.0
9.141972229866205,0.005601117538881187,0.00031391621945563446,0.035304310278673985,4.7055481975021395e-09,0.03942012825153246,1.0
9.242433463161438,0.005233047174580907,0.00028527755377766425,0.03421925764371299,3.3390651097306444e-09,0.037941455597232485,1.0
9.342894696456671,0.004887812722591226,0.00025931470766493497,0.03316136979895912,2.364128065185135e-09,0.036500446735060976,1.0
9.443355929751904,0.004564105749612268,0.00023577049685501102,0.03213026592653137,1.6701422695649441e-09,0.03509714497321061,1.0
9.543817163047137,0.004260684050986294,0.00021441311949583634,0.031125553892576006,1.177272825235159e-09,0.03373152737802021,1.0
9.64427839634237,0.003976369022180166,0.0001950336094614701,0.030146831513830304,8.280311917275429e-10,0.032403507997578726,1.0
9.744739629637603,0.0037100430701423825,0.0001774435446938108,0.029193687757376352,5.811213937500971e-10,0.031112941090097775,1.0
9.845200862932836,0.003460647070962817,0.00016147298575955245,0.028265703876116557,4.06951082728199e-10,0.029859624347591037,1.0
9.94566209622807,0.003227177879315232,0.00014696862206324754,0.027362454482433223,2.8436572025010197e-10,0.02864330210581787,1.0
10.046123329523303,0.0030086858942997507,0.00013379210523268642,0.026483508562426462,1.9827885598595494e-10,0.027463668531887683,1.0
10.146584562818536,0.0028042726855188895,0.00012181855110104505,0.025628430433058066,1.3795710281162052e-10,0.02654374600421579,1.0
10.247045796113769,0.00261308868251125,0.00011093519346100997,0.024796780644463067,9.57821375111753e-11,0.02572850898304785,1.0
10.347507029409002,0.002434330930025758,0.00010104017436899715,0.023977283418066667,6.635933359200723e-11,0.024934771182232578,1.0
10.447968262704235,0.0022672409110417874,9.204145724232593e-05,0.023167223741173883,4.5877601795010116e-11,0.02416212966577103,1.0
10.548429495999468,0.0021111024389216097,8.385585032826128e-05,0.022380384602973192,3.1650800904324825e-11,0.023410180664704315,1.0
10.6488907292947,0.0019652396196171242,7.640812934047059e-05,0.02161630783093476,2.1790041060457465e-11,0.02267852015805237,1.0
10.749351962589934,0.0018290148844383651,6.963024916453771e-05,0.020874533267561515,1.4970100778507535e-11,0.021966744416443074,1.0
10.849813195885167,0.00170182709352308,6.346063553833944e-05,0.020154599546824782,1.0263338536411082e-11,0.021274450510120998,1.0
10.9502744291804,0.0015831097098208593,5.7843548523387514e-05,0.01945604482474181,7.021884901646375e-12,0.02060123678296205,1.0
11.050735662475633,0.0014723290431185383,5.272851040740957e-05,0.018778407465739413,4.794283279085855e-12,0.019946703294060814,1.0
11.151196895770866,0.0013689825633825651,4.8069791423705396e-05,0.018122714160455324,3.266648201924119e-12,0.019310452228398448,1.0
11.251658129066099,0.0012725972824757395,4.3825947345943846e-05,0.0175141143413142,2.221229505649545e-12,0.018692088278042814,1.0
11.352119362361332,0.001182728203117243,3.995940362441633e-05,0.016923594500395024,1.5073029398588983e-12,0.018091218995277943,1.0
11.452580595656565,0.0010989568337937735,3.643608127718072e-05,0.016350729507734155,1.0207686054180198e-12,0.017507455119007052,1.0
11.553041828951798,0.0010208897681930728,3.322506024249782e-05,0.015795098618600446,6.898858865094534e-13,0.01694041087572206,1.0
11.653503062247031,0.0009481573276173163,3.029827634249353e-05,0.015256285764167536,4.653223548430712e-13,0.016389704256283544,1.0
11.753964295542264,0.0008804122647401462,2.763024840671624e-05,0.014733879816503058,3.1322811106590877e-13,0.01585495726970645,1.0
11.854425528837497,0.0008173285269960439,2.5197832462459046e-05,0.014227474829171752,2.1042683024299594e-13,0.015335796175101064,1.0
11.95488676213273,0.0007586000778320297,2.298000022028349e-05,0.013736670254700888,1.4108421558581706e-13,0.01483185169287388,1.0
12.055347995427963,0.0007039397740079831,2.095763937167362e-05,0.013261071140108964,9.440521737372876e-14,0.014342759196249071,1.0
12.155809228723196,0.000653078297101406,1.911337347443697e-05,0.012800288301652429,6.304593611066867e-14,0.01386815888412994,1.0
12.25627046201843,0.0006057631373539057,1.7431399433296087e-05,0.01235393847990071,4.202086295340955e-14,0.013407695936278443,1.0
