,Value,Uncertainty,Unit
Vf,6.457817245887588,0.16608400000000145,V
Vp,12.892017,0.16608400000000145,V
Te,3.4838776504025306,0.104315628590792,eV
n,1.688750579451483e+18,2.327060146029559e+18,m-3
ne,4.327056996502449e+16,2886989312230178.0,m-3
ni,3.3342305889379415e+18,2.271116955400489e+16,m-3
Ie_sat,0.000882,5.7345944424958235e-05,A
Ii_sat,-0.0006928494362293113,5.1310750553663005e-05,A
