,Value,Uncertainty,Unit
Vf,10.255808795651422,0.05565700000000007,V
Vp,16.803118666666666,0.3945476705303034,V
Te,1.615329736496808,0.02872187769674148,eV
n,7.51638065064037e+16,8.935839415330957e+16,m-3
ne,1.2637185292349107e+17,2.167136763729792e+16,m-3
ni,3.3794326604898683e-11,0.0,m-3
Ie_sat,0.0017540217385406617,0.00030039073820289463,A
Ii_sat,-0.0005020548726096138,0.00014419743921712598,A
