metric,bayes_median,bayes_q16,bayes_q84,legacy_value,legacy_std,delta
Vp,18.866309219023492,17.94836757881641,19.32121957520357,16.803118666666666,0.3945476705303034,2.0631905523568257
Te,3.702700772551885,3.3988873527445778,3.832612924881288,1.615329736496808,0.02872187769674148,2.087371036055077
ne,1.436420848052181e+17,1.2274733754677357e+17,1.586242262779034e+17,1.2637185292349107e+17,2.167136763729792e+16,1.7270231881727024e+16
n_qn,1.436420848052181e+17,1.2274733754677357e+17,1.586242262779034e+17,7.51638065064037e+16,8.935839415330957e+16,6.84782782988144e+16
p,2.7173056133536413,2.5305353529461607,2.925698987792187,,,
