parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,9.91245285055168,9.91245285055168,0.0,9.91245285055168,9.91245285055168,9.91245285055168,9.91245285055168
Vp,16.106506004168303,16.0965968624193,0.03986910163668193,16.052796119308436,16.11885508566098,16.008095020266207,16.1895367348296
Ie_sat,0.0014824662741277487,0.0014793450091754095,1.4076832721574133e-05,0.0014637153446559576,0.0014871460836975061,0.0014502180538266598,0.0015139316108949519
ne,7252744836031984.0,7250556874667091.0,64199239362609.11,7187967574091420.0,7302244638640021.0,7128340508079622.0,7361152713245207.0
ni,,,,,,,
Te,2.7953000728303055,2.776317335824911,0.05142859804179263,2.720139168012037,2.8079107064966844,2.671821044692055,2.8537636622778946
p,1.8807659209025935,1.8801765944039068,0.09340197349200678,1.7918166875640729,1.9845227595014958,1.6973800962788939,1.9883659487799425
I1,-8.53839637587962e-06,-8.616608306708638e-06,5.186444696546404e-07,-9.200693161428219e-06,-8.072198788683946e-06,-9.333561305574969e-06,-7.984513798147669e-06
I2,-6.0142173191883586e-05,-5.6744253998664004e-05,9.571216938364384e-06,-6.643920638109077e-05,-4.5028580130064555e-05,-6.883848039347502e-05,-4.395919698962368e-05
log10_sigma_I,-4.833466613135935,-4.822593659697512,0.02750588772412847,-4.853249031481918,-4.789032959939939,-4.861422471541196,-4.78115448925336
sigma_I,1.4673488866250312e-05,1.507509559078895e-05,9.626259082594346e-07,1.4020666323574277e-05,1.625426136624408e-05,1.3758745733599429e-05,1.655387978259238e-05
