bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-20.792906,-1.7895248534705275e-05,-2.2042309575840382e-05,-1.3647060649985571e-05,-2.399108243209557e-05,-1.1778628251742303e-05,1.0
-9.821749,-1.483466847942871e-05,-1.828999180798291e-05,-1.130382197070034e-05,-1.9932871960754687e-05,-9.795101217047156e-06,1.0
-9.653394,-1.4782767426709527e-05,-1.8226394179202467e-05,-1.1264067581336505e-05,-1.9864139938305442e-05,-9.76152409529411e-06,1.0
-9.48856,-1.4731774678973719e-05,-1.816391088680963e-05,-1.1225008213799617e-05,-1.9796614191036295e-05,-9.728536923764215e-06,1.0
-9.317886,-1.4678788603380328e-05,-1.809898651086834e-05,-1.1184421247905737e-05,-1.9726452459051366e-05,-9.694262736651614e-06,1.0
-9.150979,-1.4626786357517993e-05,-1.8035269047992672e-05,-1.114458713623827e-05,-1.965759709940948e-05,-9.660627409399932e-06,1.0
-8.986415,-1.4575332453415934e-05,-1.7972224854700133e-05,-1.110517231687691e-05,-1.9589471367492393e-05,-9.627349180078067e-06,1.0
-8.821676,-1.4523641245410649e-05,-1.790889131623292e-05,-1.1065574966729492e-05,-1.9521035062206202e-05,-9.593919925407527e-06,1.0
-8.649858,-1.4469532071191244e-05,-1.7842596750070267e-05,-1.1024124551319025e-05,-1.9449401432377e-05,-9.558929602478888e-06,1.0
-8.484933,-1.441740262592795e-05,-1.777872924740611e-05,-1.098418991315395e-05,-1.938039255292679e-05,-9.525222085385253e-06,1.0
-8.319833,-1.4365028384759084e-05,-1.7714563318029433e-05,-1.094406694827848e-05,-1.9311063451822615e-05,-9.491358861045583e-06,1.0
-8.155403,-1.4312676190706484e-05,-1.7650425899731557e-05,-1.0903960066377215e-05,-1.924176742208184e-05,-9.457512495054679e-06,1.0
-7.98472,-1.4258129793492755e-05,-1.7583601942324498e-05,-1.0862171342944507e-05,-1.9169571212978822e-05,-9.422250335387035e-06,1.0
-7.816826,-1.420427032877319e-05,-1.7517621162612776e-05,-1.0820908008252625e-05,-1.9098288442171256e-05,-9.387435057740718e-06,1.0
-7.653071,-1.4151541157265523e-05,-1.7453026633675934e-05,-1.0780509768166056e-05,-1.9028505729375547e-05,-9.353353126052957e-06,1.0
-7.482649,-1.4096455752462515e-05,-1.7385547345538322e-05,-1.0738305393265341e-05,-1.8955609138861528e-05,-9.317751100954853e-06,1.0
-7.319844,-1.4043630577180564e-05,-1.7320838454880236e-05,-1.0697831831534747e-05,-1.8885707869100612e-05,-9.283612640279379e-06,1.0
-7.143939,-1.3986330604388629e-05,-1.7250649920258323e-05,-1.0653928773812361e-05,-1.8809890079888373e-05,-9.246585388428987e-06,1.0
-6.984543,-1.3934204832212914e-05,-1.7186801081688903e-05,-1.0613989258191879e-05,-1.8740923031086026e-05,-9.212904459390247e-06,1.0
-6.816223,-1.3878948198645511e-05,-1.7119118986551484e-05,-1.0571649867925399e-05,-1.866781817997042e-05,-9.177203383934548e-06,1.0
-6.644069,-1.382220441208316e-05,-1.704961719293542e-05,-1.0528169926584458e-05,-1.8592750809272794e-05,-9.140544481856226e-06,1.0
