parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,10.268570749280766,10.268570749280766,0.0,10.268570749280766,10.268570749280766,10.268570749280766,10.268570749280766
Vp,15.110532904247743,15.055752428714905,0.14007605034551404,14.925259089548216,15.213108216732824,14.767029005941671,15.214635536138212
Ie_sat,0.0013697830389350109,0.0013445562699606892,8.124949292067176e-05,0.001256450997828858,0.0014447983509232232,0.001220663854504364,0.0014459153091749225
ne,7063974127343028.0,7028853341417043.0,380237635991238.56,6654505762675127.0,7436035095777208.0,6484096756809046.0,7671426958836816.0
ni,,,,,,,
Te,2.4655423236088936,2.454260368031197,0.05485796316660598,2.3982699373660705,2.4988300274319126,2.3228079973066547,2.529435759595136
p,1.484047816101668,1.437009228889552,0.21196716956288117,1.2274054677390935,1.6015170231546485,1.1921504170082218,1.9544876859709537
I1,-1.1537010309469744e-05,-1.1518976317786982e-05,1.0018506571938657e-06,-1.260469830659933e-05,-1.0569952891279835e-05,-1.3264361708815086e-05,-1.0329641787721572e-05
I2,-0.00011035060258613762,-0.00010996446909628316,1.8841642012174788e-05,-0.00012662336931532149,-9.0906706340637e-05,-0.00013373325159442441,-7.329809541731976e-05
log10_sigma_I,-4.596800724572855,-4.589327476333793,0.029040222341301103,-4.614206812305712,-4.560933461716015,-4.6245495422182605,-4.522289938925277
sigma_I,2.5304588276640143e-05,2.5801302206516348e-05,1.7895559971402724e-06,2.4310460621237834e-05,2.748340514421917e-05,2.3740618542675893e-05,3.0050323239059785e-05
