comparison,candidate_model,reference_model,log_bayes_factor,log10_bayes_factor,bayes_factor
oml_vs_linear,oml,linear,-160.44415415037383,-69.68001080114207,2.0892441695589607e-70
transitional_vs_linear,transitional,linear,-177.08613687075103,-76.90753206453115,1.237279836570041e-77
