parameter,median,mean,std,q16,q84,q2.25,q97.75
Vp,18.624920666941343,18.638312923059125,0.7796780816309226,17.740654787163805,19.612161384963187,17.371638722244555,20.054518385401384
ne,1.482422879814361e+17,1.4878883120423533e+17,2.452012470023209e+16,1.2240772222311117e+17,1.8021208720347702e+17,1.0975855772723354e+17,1.9601914396056234e+17
Te,3.451250579404266,3.4828507069633994,0.21089679955946297,3.239303806073442,3.7073592931016583,3.173086174229432,3.9280441019290873
p,1.9792393728269346,1.997303076104059,0.1793784808162379,1.8194842474907347,2.169901863531642,1.7204722257115324,2.441673002191755
I1,-1.1335779008935008e-05,-1.1343992988778066e-05,3.6440059397583636e-07,-1.165042411404002e-05,-1.1010483808491956e-05,-1.2163664551003538e-05,-1.0734361195336862e-05
I2,-8.032996684032186e-05,-7.689680183983601e-05,1.2970696205541198e-05,-8.85708406061539e-05,-6.236071008836837e-05,-9.56502476168429e-05,-5.114591781012548e-05
log10_sigma_I,-4.894913274197872,-4.895774748918572,0.02874657902867892,-4.924073736253069,-4.867628733346092,-4.9438705845176685,-4.844006947243714
sigma_I,1.2737575085667221e-05,1.2739833241252166e-05,8.425683630905572e-07,1.1910398640850908e-05,1.35635070892286e-05,1.1379663380754392e-05,1.4321822417883997e-05
n_qn,1.482422879814361e+17,1.4878883120423533e+17,2.452012470023209e+16,1.2240772222311117e+17,1.8021208720347702e+17,1.0975855772723354e+17,1.9601914396056234e+17
