,Value,Uncertainty,Unit
Vf,10.255808795651422,0.16551199999999966,V
Vp,16.579248,0.3310239999999993,V
Te,1.8644480535387526,0.05,eV
n,1.2258792201995873e+18,1.5744905149641318e+18,m-3
ne,1.1254630015455035e+17,2.003897269363897e+16,m-3
ni,2.3392121402446244e+18,1.168218146304649e+16,m-3
Ie_sat,0.0016782277129456626,0.00029796145266461674,A
Ii_sat,-0.0004521139885751951,3.136232191075488e-05,A
