parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,6.809691803018212,6.809691803018213,8.99493250624476e-16,6.809691803018212,6.809691803018212,6.809691803018212,6.809691803018212
Vp,11.292128598010352,11.289076278515708,0.014279245890090126,11.272949611921941,11.300138203328245,11.259932290888946,11.308601646680287
Ie_sat,0.0030441659305488933,0.0030399811222060363,1.957721248886165e-05,0.003017871048531747,0.003055147304948303,0.003000023967400135,0.0030667509029369995
ne,1.9920100828781956e+16,2.001283014471463e+16,193621841509008.12,1.989312024521384e+16,2.021054272796091e+16,1.970754207490732e+16,2.029905549685993e+16
ni,,,,,,,
Te,1.6007587031781525,1.596526305593942,0.018771341138171072,1.573308959026941,1.6131958624631573,1.5647042137945053,1.6170007795322303
p,1.432956149970772,1.416257304920571,0.06620076465639063,1.3504426075948823,1.474727832490871,1.2856604628650115,1.5442497731368363
I1,-8.315884296251951e-06,-8.401574897721413e-06,5.080960849986165e-07,-8.914521538098068e-06,-8.028321022493341e-06,-9.2544303812608e-06,-7.295290103391673e-06
I2,-0.00010949670872973521,-0.00010874085905018624,6.623384032585663e-06,-0.00011396049141803937,-0.00010273473413479406,-0.00012372149429615092,-9.617391693651778e-05
log10_sigma_I,-4.811047338700247,-4.810162409522088,0.02331481481315564,-4.821841886477228,-4.781756777252283,-4.869063208459026,-4.771770448522959
sigma_I,1.5450860138430224e-05,1.5503998614952178e-05,8.248333714479904e-07,1.5071761655959716e-05,1.6529022742954313e-05,1.351875793012176e-05,1.691334670337548e-05
