,Value,Uncertainty,Unit
Vf,11.267419204331548,0.16544199999999876,V
Vp,17.918736,0.3308839999999975,V
Te,2.0881330984500597,0.05440379762598722,eV
n,1.6715642779376172e+18,2.225130505435709e+18,m-3
ne,9.815940851897731e+16,1.5606738865586994e+16,m-3
ni,3.244969147356257e+18,9201773891538350.0,m-3
Ie_sat,0.0015490147150667827,0.0002454557065163112,A
Ii_sat,-0.0006382554970656003,4.352072940353019e-05,A
