Row,Value,Uncertainty,Unit
Vf,11.9061738091845,0.0562283333333333,V
Vp,17.2751525714286,0.485474401546674,V
Te,1.55954928588733,0.0379166227856351,eV
n,1.66618332525647e+17,3.27878704585319e+17,m-3
ne,1.34228934147866e+16,NaN,m-3
ni,4.77113404252666e+17,0,m-3
Ie_sat,0.00121526319455802,NaN,A
Ii_sat,-0.000571116152743344,0.000105473643032853,A
