comparison,candidate_model,reference_model,log_bayes_factor,log10_bayes_factor,bayes_factor
oml_vs_linear,oml,linear,-196.35042551069728,-85.27390631865131,5.322230523351923e-86
transitional_vs_linear,transitional,linear,-209.7444670133715,-91.09086463364585,8.112138677706409e-92
