comparison,candidate_model,reference_model,log_bayes_factor,log10_bayes_factor,bayes_factor
oml_vs_linear,oml,linear,-328.981930622913,-142.87503711540953,1.333407472439471e-143
transitional_vs_linear,transitional,linear,-337.30846700429817,-146.49120591921178,3.2269637053500597e-147
