parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,11.165884604474979,11.165884604474979,0.0,11.165884604474979,11.165884604474979,11.165884604474979,11.165884604474979
Vp,17.537382350775125,17.565032671719308,0.08009698603863435,17.514652535413866,17.573814088824086,17.504172823612567,17.83912000979658
Ie_sat,0.0017474698022358235,0.0017611708898042325,3.922341419148922e-05,0.0017359419956695492,0.0017659467683891618,0.0017306270343029214,0.001891537219901157
ne,7648375546124129.0,7669559351857872.0,116582978577558.5,7588185154500794.0,7743861665304892.0,7533487542514797.0,8006406935091319.0
ni,,,,,,,
Te,3.497098296350493,3.4979055878067937,0.025322815188564295,3.478756258011364,3.518081458253992,3.451353416118954,3.544837921434794
p,1.1592506925660806,1.1747537394456846,0.0576763651490528,1.1158820478554914,1.2198261534797146,1.0871623290144128,1.2775798015265782
I1,-3.2055944336396966e-05,-3.2045155512152074e-05,4.26861851497781e-07,-3.243204736028042e-05,-3.153341626128968e-05,-3.273533620811527e-05,-3.1354048800907256e-05
I2,-7.020947339999445e-05,-7.012786856393592e-05,1.1646665788143463e-05,-8.380478309377219e-05,-5.7526280335856834e-05,-8.683463614150844e-05,-4.959980367559027e-05
log10_sigma_I,-5.2428335373280746,-5.243791463023403,0.031724241815276416,-5.276157416401186,-5.21979854013362,-5.293110534165774,-5.171158783371544
sigma_I,5.717260202912662e-06,5.719265756092673e-06,4.194696839234888e-07,5.294714944017628e-06,6.028391653427562e-06,5.092955177800564e-06,6.74281530514558e-06
