,Value,Uncertainty,Unit
Vf,6.345242047143454,0.0509306666666666,V
Vp,18.501748999999997,0.5857960000000002,V
Te,3.2139485811949067,0.12464067910054465,eV
n,4.2396209885598584e+16,5.360262133977574e+16,m-3
ne,7.580555407746034e+16,4777607593187762.0,m-3
ni,4.98375385599842e-11,0.0,m-3
Ie_sat,0.0014841387784604253,8.900000000000292e-05,A
Ii_sat,-0.0008028629354630227,0.00027246850772631053,A
