parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,11.267419204331548,11.267419204331548,0.0,11.267419204331548,11.267419204331548,11.267419204331548,11.267419204331548
Vp,17.77766738867693,17.80021593530766,0.16148915775139125,17.643251400937068,17.965716137850848,17.593340992882396,18.034590644833298
Ie_sat,0.0014982866976851234,0.001503333774407236,5.323091440155718e-05,0.0014516271298073032,0.001556550379705078,0.0014324694469789257,0.0015822798433643725
ne,6674412410195050.0,6697016570307851.0,173723627617444.3,6537325190544186.0,6882289090433985.0,6489165733276832.0,6988797632059160.0
ni,,,,,,,
Te,3.547670646513447,3.562273259463099,0.07261093715713687,3.504012770371293,3.6332743350365977,3.4423358533454613,3.6783663985489516
p,1.8714594712476493,1.8723891192309665,0.07457656541411946,1.8134851423487364,1.9254184320117842,1.7179451199167375,1.981631485358076
I1,-1.3233710018465165e-05,-1.313075797364939e-05,2.6949441475777546e-07,-1.3359764644077277e-05,-1.2905627294054011e-05,-1.3465893625619372e-05,-1.2517200234423505e-05
I2,-0.0001151762538736667,-0.00011541196887789933,5.014097224876851e-06,-0.00011857971963824559,-0.00011130721211142017,-0.000127740187633419,-0.000108802351029837
log10_sigma_I,-4.897209684113232,-4.87121450513425,0.04368455224474224,-4.898459205584316,-4.812272391311836,-4.935737385658866,-4.7939204950870575
sigma_I,1.2670399715993693e-05,1.3520105111377748e-05,1.4110282555502256e-06,1.2633997726762876e-05,1.5407337951678513e-05,1.1594782712956589e-05,1.607970648924321e-05
