parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,9.922878430330167,9.922878430330167,0.0,9.922878430330167,9.922878430330167,9.922878430330167,9.922878430330167
Vp,16.262056528567562,16.259134460963544,0.0307271128884501,16.22715766896352,16.300902916187827,16.21955016549128,16.318043931689637
Ie_sat,0.0015766105138399458,0.0015743798787507175,1.0221606595420604e-05,0.0015630441553341756,0.0015874072404468698,0.0015593232166326086,0.0015921713091151632
ne,7519857308735918.0,7480053697698925.0,90729364639452.39,7370367696056684.0,7550481176952515.0,7360905222161092.0,7624286617589431.0
ni,,,,,,,
Te,2.9222854479244447,2.919184188210503,0.04493617382552036,2.8552078661894256,2.960268471632241,2.8507167091848236,2.97399523041121
p,1.910711414378448,1.912160975954302,0.07952523437093026,1.8201785391439431,1.9971479544521042,1.777178822775059,1.9971479544521042
I1,-8.812072372764597e-06,-8.91090537639149e-06,4.7218829349716906e-07,-9.3189391996637e-06,-8.618569971392501e-06,-9.866112721128796e-06,-7.927627012609694e-06
I2,-6.933512429284014e-05,-6.887429882392457e-05,9.43246056656855e-06,-7.702653811439924e-05,-6.148015253897715e-05,-9.016861556501263e-05,-5.26058410377825e-05
log10_sigma_I,-4.752904733487737,-4.762289523016965,0.03982439885692392,-4.803976597932507,-4.725275800506328,-4.842204430772087,-4.697565710202685
sigma_I,1.7664252599123797e-05,1.735694499352261e-05,1.5711064204873928e-06,1.570447426008521e-05,1.8825879635168057e-05,1.4381214674475999e-05,2.0070984003541615e-05
