bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000273,-1.7463453783507033e-05,-2.2746281158738522e-05,-1.5799020127994038e-05,-2.7580265257873945e-05,-1.5719752949968074e-05,1.0
-9.823277,-1.4610111169400783e-05,-1.907208255037438e-05,-1.320400570567679e-05,-2.312923111548164e-05,-1.3097335994657314e-05,1.0
-9.654995,-1.4562878851380985e-05,-1.9011336863500823e-05,-1.31610254449456e-05,-2.3055645638848627e-05,-1.3053827562794586e-05,1.0
-9.489995,-1.451641834624444e-05,-1.8951586620028597e-05,-1.3118746698687445e-05,-2.2983265949987642e-05,-1.3011026412691927e-05,1.0
-9.318672,-1.4468019350913966e-05,-1.888934639376416e-05,-1.3074703098804198e-05,-2.2907869893014893e-05,-1.2966435562331285e-05,1.0
-9.153721,-1.4421266757386886e-05,-1.8829226346603446e-05,-1.3032156951092347e-05,-2.283504205045064e-05,-1.2923357795224566e-05,1.0
-8.985745,-1.437350024496234e-05,-1.876780547900466e-05,-1.2988687327120585e-05,-2.276063834997573e-05,-1.2879341962878036e-05,1.0
-8.82065,-1.4326397504001028e-05,-1.8707241126976217e-05,-1.2945821022805366e-05,-2.268727206042666e-05,-1.2835933981893041e-05,1.0
-8.649175,-1.4277309612026617e-05,-1.86441274866575e-05,-1.290114737024574e-05,-2.2610817509044345e-05,-1.2790692559122755e-05,1.0
-8.484118,-1.4229898620567844e-05,-1.858317302739872e-05,-1.2857999151127834e-05,-2.2536978389637224e-05,-1.2746992770599293e-05,1.0
-8.31933,-1.4182406300506485e-05,-1.852211713808568e-05,-1.2814776310360386e-05,-2.246301625062949e-05,-1.2703214235113299e-05,1.0
-8.151331,-1.4133823677808885e-05,-1.84596628561235e-05,-1.2770560633880782e-05,-2.2387360010853097e-05,-1.2658426781701052e-05,1.0
-7.986279,-1.4085929369480655e-05,-1.8398096763170494e-05,-1.2726970964720184e-05,-2.2312779514604232e-05,-1.2614270113172753e-05,1.0
-7.814737,-1.4035977740742867e-05,-1.833388963516723e-05,-1.2681508502669725e-05,-2.223499961716758e-05,-1.2568212745379533e-05,1.0
-7.650114,-1.3987872125223174e-05,-1.8272058853140376e-05,-1.2637725919478672e-05,-2.2160098262534e-05,-1.2523853781567111e-05,1.0
-7.481814,-1.3938519196991218e-05,-1.8208628522612752e-05,-1.2592808019357365e-05,-2.2083259192616766e-05,-1.2478340993325881e-05,1.0
-7.317164,-1.3890065527432533e-05,-1.8146357598630034e-05,-1.2548708644884297e-05,-2.200782466636004e-05,-1.2433654026634985e-05,1.0
-7.145559,-1.383938283593398e-05,-1.8081226005039192e-05,-1.2502580869626828e-05,-2.192892477786265e-05,-1.2386907836103221e-05,1.0
-6.983833,-1.3791445497290417e-05,-1.8019626269473e-05,-1.2458952211691678e-05,-2.185430357814492e-05,-1.2342690662583953e-05,1.0
-6.818714,-1.3742327540427259e-05,-1.7956513613826754e-05,-1.2414249966358939e-05,-2.1777849834524433e-05,-1.229738174971967e-05,1.0
-6.647296,-1.3691146546524691e-05,-1.789075463345049e-05,-1.2367671375528592e-05,-2.1698190897608266e-05,-1.2250167037636611e-05,1.0
-6.482587,-1.3641784531066902e-05,-1.782733734344236e-05,-1.2322749813348072e-05,-2.1621369236246784e-05,-1.2204628093469311e-05,1.0
-6.314349,-1.3591175961701106e-05,-1.7762323459150337e-05,-1.2276695939335759e-05,-2.1542614342383647e-05,-1.2157937275524822e-05,1.0
-6.14933,-1.3541347517946914e-05,-1.7698316855837546e-05,-1.2231354606089594e-05,-2.1465080911733973e-05,-1.2111964866157188e-05,1.0
-5.977759,-1.3489339954678407e-05,-1.7631516921161204e-05,-1.2184033861054066e-05,-2.1384165109164002e-05,-1.2063981254928751e-05,1.0
-5.813185,-1.3439258097614801e-05,-1.7567196128825718e-05,-1.2138469319459294e-05,-2.1306254639981266e-05,-1.2017774324591995e-05,1.0
-5.644996,-1.33878750055645e-05,-1.750121083917693e-05,-1.2091726163455765e-05,-2.1226330427355897e-05,-1.1970367937998436e-05,1.0
-5.480084,-1.3337292138996775e-05,-1.743626044590838e-05,-1.2045717198371166e-05,-2.1147662853734184e-05,-1.192370196859843e-05,1.0
-5.314992,-1.3286451248405466e-05,-1.7370986382256965e-05,-1.1999480781361456e-05,-2.1068607134226305e-05,-1.1876801101861269e-05,1.0
-5.143342,-1.3233371345842217e-05,-1.7302846633680034e-05,-1.1951217302344187e-05,-2.098608538717925e-05,-1.1827839574253148e-05,1.0
-4.978612,-1.3182216494653327e-05,-1.7237187747874994e-05,-1.1904714663934265e-05,-2.0906574206169052e-05,-1.1780660082773062e-05,1.0
-4.810504,-1.3129790800685336e-05,-1.7169908589396636e-05,-1.1857069319870296e-05,-2.0825107558445723e-05,-1.1732316916274592e-05,1.0
-4.645404,-1.3078079947577715e-05,-1.710355867492905e-05,-1.181008809777067e-05,-2.074477479149365e-05,-1.1684643341627494e-05,1.0
-4.473818,-1.3024096658563914e-05,-1.7034307917130426e-05,-1.1761060599233859e-05,-2.066094010467766e-05,-1.1634888914577807e-05,1.0
-4.309126,-1.2972044218526639e-05,-1.6967550746144496e-05,-1.1713807898091037e-05,-2.0580136561477715e-05,-1.1586931441402083e-05,1.0
-4.141359,-1.2918773789151615e-05,-1.6899249137316973e-05,-1.1665473528041027e-05,-2.0497479111621366e-05,-1.1537872156522463e-05,1.0
-3.9764,-1.286614487333791e-05,-1.6831790698212805e-05,-1.1617748852845704e-05,-2.04158584901661e-05,-1.1489428012495986e-05,1.0
-3.81124,-1.2813194961524061e-05,-1.6763944013741447e-05,-1.1569764947516605e-05,-2.0333788739173905e-05,-1.14407172062208e-05,1.0
-3.643049,-1.2758999226975966e-05,-1.66945285629141e-05,-1.1520690186812775e-05,-2.024984528333333e-05,-1.139089570859185e-05,1.0
