metric,bayes_median,bayes_q16,bayes_q84,legacy_value,legacy_std,delta
Vp,16.826316029199546,16.57171421522124,17.278618801176652,15.071524,0.1659739999999985,1.754792029199546
Te,9.048475473934568,8.83742153771285,9.167062452471683,4.434197826130393,0.17512035672452797,4.614277647804175
ne,5.5119675868962536e+16,5.40583573426241e+16,5.7037997061557064e+16,4.279007464718572e+16,4874468904946883.0,1.2329601221776816e+16
n_qn,5.5119675868962536e+16,5.40583573426241e+16,5.7037997061557064e+16,1.756510496464341e+18,2.423566662649562e+18,-1.7013908205953784e+18
p,2.9030436931260297,2.7362898348141655,2.9682406105844636,,,
