,Value,Uncertainty,Unit
Vf,6.345242047143454,0.1659739999999985,V
Vp,15.071524,0.1659739999999985,V
Te,4.434197826130393,0.17512035672452797,eV
n,1.756510496464341e+18,2.423566662649562e+18,m-3
ne,4.279007464718572e+16,4874468904946883.0,m-3
ni,3.470230918281496e+18,2.2946234757477164e+16,m-3
Ie_sat,0.000984,0.00011039629407903335,A
Ii_sat,-0.0007439458866088756,6.004094510429918e-05,A
