,Value,Uncertainty,Unit
Vf,6.809691803018212,0.16548699999999883,V
Vp,11.057453,0.33097399999999766,V
Te,1.2739332407774429,0.05,eV
n,9.95773578080628e+17,1.0873374815480096e+18,m-3
ne,2.269098714397279e+17,5.9120215316196056e+16,m-3
ni,1.764637284721528e+18,2.2752267860192224e+16,m-3
Ie_sat,0.0027968633411775794,0.0007266385850156336,A
Ii_sat,-0.00035663070937560766,2.3691163620920944e-05,A
