,Value,Uncertainty,Unit
Vf,11.094745549484534,0.1655040000000021,V
Vp,16.916073,2.16075208926454,V
Te,2.354230551781007,0.05,eV
n,1.890926177296741e+18,2.520127913846311e+18,m-3
ne,1.0892663995850734e+17,9.998137936784746e+16,m-3
ni,3.6729257146349747e+18,1.445271502516074e+16,m-3
Ie_sat,0.001825169172791268,0.0016751707263277483,A
Ii_sat,-0.0007130635204242618,4.703081219375546e-05,A
