parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,11.90617380918445,11.90617380918445,0.0,11.90617380918445,11.90617380918445,11.90617380918445,11.90617380918445
Vp,18.13748607207478,18.199143610079993,0.13773430185337818,18.08717691600194,18.376178216525304,18.05890842666896,18.47440870757125
Ie_sat,0.0015668884720701124,0.0015885362136442334,4.8868917118487463e-05,0.0015488730979820243,0.001651846572318239,0.001536997830293094,0.0016849597895093992
ne,7260596912639038.0,7304077322770754.0,152942073055582.06,7209165947638874.0,7481816031503442.0,7037151448549069.0,7589858231423058.0
ni,,,,,,,
Te,3.2950144889539357,3.2912599314499587,0.07145068508937233,3.217862847659917,3.3702822806600254,3.209328371173981,3.405303018650694
p,1.8057091815563249,1.812126964565224,0.12262969760127353,1.6712166637004673,1.9259112140319967,1.6025802592036529,1.9934747389664065
I1,-1.3161345806753598e-05,-1.299212727949069e-05,4.493738986964672e-07,-1.3375981123027993e-05,-1.2634602770541877e-05,-1.3708402951856106e-05,-1.1883814821974726e-05
I2,-0.00010783288405405433,-0.00010934364366995573,9.86551290806878e-06,-0.00011903892772412309,-9.939845531198308e-05,-0.00013161400211050432,-9.214501075905179e-05
log10_sigma_I,-4.862966773373987,-4.853432501122552,0.03814063455329081,-4.876944611801468,-4.81242330516812,-4.917925945714582,-4.779052238536457
sigma_I,1.370996118135225e-05,1.4067499413891992e-05,1.2552965462637659e-06,1.3275638091755553e-05,1.5402080205353185e-05,1.208028844737406e-05,1.663223942383124e-05
