Row,Value,Uncertainty,Unit
Vf,11.2674192043315,0.0551076666666663,V
Vp,17.8433698181818,1.52108140083894,V
Te,1.72619968217035,0.16129697981421,eV
n,1.73396817938798e+17,3.3767963431131e+17,m-3
ne,1.59416172535492e+16,NaN,m-3
ni,4.93492735833791e+17,0,m-3
Ie_sat,0.00151845716546542,NaN,A
Ii_sat,-0.000584218996895277,0.000110590500088705,A
