Row,Value,Uncertainty,Unit
Vf,9.58926697547671,0.0554140000000002,V
Vp,14.8699838,0.248046599007041,V
Te,1.37931820857522,0.0168777288024891,eV
n,7.75932156409842e+16,1.37687552927777e+17,m-3
ne,1.3942303721306e+16,NaN,m-3
ni,2.08661908441731e+17,0,m-3
Ie_sat,0.00118711126245444,NaN,A
Ii_sat,-0.000245223374294535,4.71806172341392e-05,A
