parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,11.270112423713709,11.270112423713709,0.16548500000000033,11.104627423713708,11.435597423713709,10.939142423713708,11.60108242371371
Vp,17.753763,17.753763,1.6221027095525937,16.131660290447407,19.375865709552592,14.509557580894812,20.997968419105188
Te,2.632087025551253,2.632087025551253,0.05,2.582087025551253,2.682087025551253,2.532087025551253,2.732087025551253
n,2.579562741662888e+18,2.579562741662888e+18,3.518661823048056e+18,-9.390990813851679e+17,6.098224564710944e+18,-4.4577609044332237e+18,9.616886387759e+18
ne,9.14931058833879e+16,9.14931058833879e+16,5.639207166256621e+16,3.5101034220821696e+16,1.478851775459541e+17,-2.129103744174451e+16,2.0427724920852032e+17
ni,5.067632377442388e+18,5.067632377442388e+18,1.0830269791424308e+16,5.056802107650963e+18,5.078462647233812e+18,5.045971837859539e+18,5.089292917025237e+18
Ie_sat,0.001621,0.001621,0.0009989899523303407,0.0006220100476696593,0.002619989952330341,-0.0003769799046606814,0.0036189799046606815
Ii_sat,-0.0009946418125625868,-0.0009946418125625868,6.984874174237866e-05,-0.0010644905543049654,-0.0009247930708202081,-0.001134339296047344,-0.0008549443290778295
