,Value,Uncertainty,Unit
Vf,10.301417958119565,0.16556500000000085,V
Vp,16.579355,0.3311300000000017,V
Te,1.9217021811703485,0.05,eV
n,1.3302057744647496e+18,1.7217686717086845e+18,m-3
ne,1.1273147106498422e+17,1.9480130786805136e+16,m-3
ni,2.547680077864515e+18,1.217851555676647e+16,m-3
Ie_sat,0.001706603915752625,0.0002940662503068034,A
Ii_sat,-0.000492406596046591,3.319079963234382e-05,A
