,Value,Uncertainty,Unit
Vf,6.809691803018212,0.05764099999999998,V
Vp,11.724625999999999,0.23628114514704773,V
Te,1.0938084645463517,0.01507056442296206,eV
n,1.727967808651142e+17,2.2420777091408902e+17,m-3
ne,3.1707767041614464e+17,5.25427442714586e+16,m-3
ni,2.534274542319119e-11,0.0,m-3
Ie_sat,0.003621515287391263,0.0005996002330868016,A
Ii_sat,-0.00041182346962629067,0.00011782763922353487,A
