,Value,Uncertainty,Unit
Vf,9.91245285055168,0.05551633333333328,V
Vp,16.288288,0.6530033625093363,V
Te,1.5311292187938839,0.055295574085935946,eV
n,6.80069508121241e+16,8.104496368553928e+16,m-3
ne,1.1461488680612462e+17,3.431589027992135e+16,m-3
ni,2.7829091463354983e-11,0.0,m-3
Ie_sat,0.0015488200999377655,0.00046287521841408214,A
Ii_sat,-0.00041125046245205283,0.00012030763917092653,A
