,Value,Uncertainty,Unit
Vf,10.549716207847116,0.1654490000000024,V
Vp,16.409765,0.3308980000000048,V
Te,1.8880787845086666,0.05,eV
n,1.4135579296014984e+18,1.8453744427158623e+18,m-3
ne,1.0868114732876608e+17,1.9101356884946704e+16,m-3
ni,2.718434711874231e+18,1.020587290594642e+16,m-3
Ie_sat,0.0016308303782247946,0.00028581355551551607,A
Ii_sat,-0.0005242225690121029,3.373187854098518e-05,A
