Row,Value,Uncertainty,Unit
Vf,6.45781724588759,0.046426,V
Vp,14.045485,1.71673194003368,V
Te,2.31181259181418,0.257373001181958,eV
n,1.97253926230243e+17,3.98780238408785e+17,m-3
ne,1.010341937293e+16,NaN,m-3
ni,5.74063840937011e+17,0,m-3
Ie_sat,0.00111370288281596,NaN,A
Ii_sat,-0.00062921683175072,0.000141745160304371,A
