Row,Value,Uncertainty,Unit
Vf,10.5497162078471,0.0560453333333335,V
Vp,17.2004598181818,1.4286614419691,V
Te,1.62790344004175,0.121458994153222,eV
n,1.49449360466209e+17,2.77429666311237e+17,m-3
ne,2.10729346318557e+16,NaN,m-3
ni,4.13417731333849e+17,0,m-3
Ie_sat,0.00194923406143859,NaN,A
Ii_sat,-0.000485296453436592,9.361616016791e-05,A
