Row,Value,Uncertainty,Unit
Vf,10.2558087956514,0.0556570000000001,V
Vp,15.9720815,0.186729956415006,V
Te,1.57205951115229,0.0119825480064325,eV
n,1.27697171373326e+17,2.40568741811008e+17,m-3
ne,1.55302391297756e+16,NaN,m-3
ni,3.55745816481934e+17,0,m-3
Ie_sat,0.00141168332716962,NaN,A
Ii_sat,-0.000417859879954869,8.04994338588664e-05,A
