Vp,ne,Te,p,I1,I2,log10_sigma_I,sigma_I
20.37683934623861,2.2610052701494512e+17,3.7810003525499267,1.7955846536076643,-1.0542115473605824e-05,-7.886040694013441e-05,-4.837029277925172,1.4553609642404277e-05
20.394160754550743,2.132031299390711e+17,3.9087802457648984,2.1484604069878426,-1.1615314355919418e-05,-5.2917592025081284e-05,-4.886329416008061,1.2991837624224787e-05
20.837993143604578,2.316434455382786e+17,4.024028350608771,2.093867881792251,-1.1156180237791719e-05,-5.954558202032195e-05,-4.913007173202961,1.2217794799762522e-05
18.85809473670572,1.476033292033678e+17,3.605789870209801,2.4218962224927254,-1.1969756581242446e-05,-5.702949048874001e-05,-4.872213238082145,1.3421058269443487e-05
19.016935379756806,1.5799852631078733e+17,3.609154808969884,2.1569241352027158,-1.1372984549841447e-05,-7.013458262502756e-05,-4.877950723572994,1.3244918077034943e-05
19.795867598849778,1.8704049511558176e+17,3.785496368491015,2.066460000119431,-1.0996031989417179e-05,-7.098821332905333e-05,-4.867434587402612,1.3569548968386916e-05
19.860322202186993,1.8301174587139782e+17,3.874907838160663,2.2519546745505115,-1.121321430528851e-05,-6.66902206057432e-05,-4.935473911690468,1.1601819068231479e-05
19.976437351905904,1.9485112658416947e+17,3.8362970953796447,2.13183917071406,-1.1130114192200221e-05,-6.763615685491386e-05,-4.788477707079745,1.6275048555127325e-05
19.12128502849629,1.5817110132621597e+17,3.693744465902583,2.1823478766369453,-1.0960210793714694e-05,-7.983950564838596e-05,-4.790141555638387,1.621281564386959e-05
19.617551317979956,1.7507612132345622e+17,3.7949814861104905,2.320376502049334,-1.1269874442766301e-05,-6.559686731388847e-05,-4.848996972565517,1.4158036493844607e-05
19.190543808215427,1.7021094296366234e+17,3.58184765695618,1.8647412109744583,-1.0765389387197327e-05,-8.524034441812628e-05,-4.862942824053432,1.3710622580330745e-05
19.016935379756806,1.5799852631078733e+17,3.609154808969884,2.1569241352027158,-1.1372984549841447e-05,-7.013458262502756e-05,-4.877950723572994,1.3244918077034943e-05
20.000989634997843,1.8380961883495146e+17,3.955652875230709,2.596434984923829,-1.1666449126674782e-05,-5.2315561511563635e-05,-4.821278035980475,1.5091137079715177e-05
19.143382270482594,1.5567812446133005e+17,3.697220723292763,2.380225557231383,-1.1879183687803696e-05,-5.683459039526259e-05,-4.852279801171148,1.4051419472552564e-05
20.34996855003464,2.0172068604924112e+17,3.969490191785092,2.254723110152336,-1.133319663916099e-05,-5.455784107717687e-05,-4.783571364138036,1.6459954708362807e-05
19.731946848036728,1.9307218393370867e+17,3.669000329601797,1.8798155621920951,-1.0648722381500033e-05,-7.830108234248984e-05,-4.79375710094401,1.6078402598007365e-05
19.61264616465052,1.8250000779812893e+17,3.7046850017465607,2.088768984090397,-1.1357000118098924e-05,-6.441780072521941e-05,-4.8619497380457695,1.3742010054267836e-05
20.35582900755203,2.2965336775324438e+17,3.7406785647024154,1.7493228764998205,-1.0094126871681335e-05,-8.489189508783385e-05,-4.835231118412429,1.4613992549168904e-05
19.190543808215427,1.7021094296366234e+17,3.58184765695618,1.8647412109744583,-1.0765389387197327e-05,-8.524034441812628e-05,-4.862942824053432,1.3710622580330745e-05
19.508118835773548,1.764072022537956e+17,3.740258474468231,1.9619886594963512,-1.0093480924300681e-05,-9.683457162285372e-05,-4.82264481183145,1.5043718150712866e-05
18.997458575088746,1.5184098278329664e+17,3.6513573442622977,2.4043216328661448,-1.1805195195855613e-05,-5.873437750612137e-05,-4.858199166286821,1.386120012164093e-05
20.858651332754718,2.2454311154058762e+17,4.108752511606824,2.4214777479070064,-1.1793736524418129e-05,-4.194259086070379e-05,-4.80538970279647,1.5653458175837576e-05
19.190543808215427,1.7021094296366234e+17,3.58184765695618,1.8647412109744583,-1.0765389387197327e-05,-8.524034441812628e-05,-4.862942824053432,1.3710622580330745e-05
19.190543808215427,1.7021094296366234e+17,3.58184765695618,1.8647412109744583,-1.0765389387197327e-05,-8.524034441812628e-05,-4.862942824053432,1.3710622580330745e-05
19.843542210847694,1.9321611696873235e+17,3.7654209645201213,1.9813443783145652,-1.0421623049173927e-05,-8.16708149239953e-05,-4.860982451278517,1.3772651195059072e-05
20.68279423302124,2.112260572900798e+17,4.097500562362447,2.5796768932611944,-1.2527543276915775e-05,-2.845303006205127e-05,-4.813273597583985,1.5371859361646167e-05
