parameter,median,mean,std,q16,q84,q2.25,q97.75
Vp,18.73514758893146,18.85670980309099,0.6039896755498843,18.295923995755015,19.358342464529947,18.231876548110623,20.208377339578803
ne,1.7376163961787536e+17,1.7895353486908346e+17,3.1831455842503216e+16,1.5270313404935014e+17,2.049014427686883e+17,1.4716887966787318e+17,2.5222624073028976e+17
Te,3.238108911405987,3.2514293491543023,0.0934965900982626,3.1790804479724266,3.304838421675922,3.139987128391665,3.5031106859360612
p,1.3283961506970492,1.3456481247465737,0.07198336002411038,1.2755928058277397,1.418751092181616,1.2436584218266882,1.5057606180921101
I1,-1.3591719054592642e-05,-1.3657744984737975e-05,3.0228007544418343e-07,-1.3953091792946804e-05,-1.3425318052675589e-05,-1.4270921833677789e-05,-1.2832451680129444e-05
I2,-0.00015016102612179331,-0.0001472817537591909,1.2535526020181214e-05,-0.00015665724081434518,-0.000135763742404342,-0.0001618513754948011,-0.00011627794804387108
log10_sigma_I,-4.9665697787568215,-4.966315392578248,0.02240462031993393,-4.984309786568111,-4.947124926017551,-4.99704547507975,-4.930928667840541
sigma_I,1.0800166935177783e-05,1.0820923951050082e-05,5.731050983126501e-07,1.0367969706292963e-05,1.129470979957215e-05,1.00685185538339e-05,1.1723880256690228e-05
n_qn,1.7376163961787536e+17,1.7895353486908346e+17,3.1831455842503216e+16,1.5270313404935014e+17,2.049014427686883e+17,1.4716887966787318e+17,2.5222624073028976e+17
