parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,11.094745549484534,11.094745549484534,0.0,11.094745549484534,11.094745549484534,11.094745549484534,11.094745549484534
Vp,16.967000487244732,16.967176293176447,0.020238936198115245,16.947076878655682,16.985214744702784,16.93429665852515,17.00465187781529
Ie_sat,0.0018097230279361435,0.0018098049218063302,9.427695627676272e-06,0.0018004422181275709,0.0018182075882765538,0.00179448893954287,0.0018272617882140194
ne,9178837986681698.0,9175763800352656.0,63590708460715.59,9093390547726452.0,9233247682217638.0,9074377785647816.0,9271367779574624.0
ni,,,,,,,
Te,2.957100480875735,2.9634298736642686,0.0223265518776407,2.948891075876402,2.983747116522514,2.9229315174239217,3.012122449001867
p,1.1717856846245023,1.177100204655186,0.053113366783064296,1.114976109528621,1.2224604521817568,1.10346654818458,1.2562485068568816
I1,-1.3296436113489115e-05,-1.3360535102310072e-05,3.198047562976456e-07,-1.3638857790136834e-05,-1.3012056345574978e-05,-1.4009313669616993e-05,-1.287181473317886e-05
I2,-0.00018066973416002233,-0.00017955970384349874,7.1398728853905786e-06,-0.00018889944028998434,-0.00017246208530630801,-0.00018980065541329954,-0.00016690173224620565
log10_sigma_I,-5.067198425758466,-5.070951871042192,0.03801973837982848,-5.116371469226936,-5.044123094143478,-5.144117997835415,-4.993358211876025
sigma_I,8.566595353081718e-06,8.524591387066417e-06,7.503370702405966e-07,7.65072003495541e-06,9.033933843628653e-06,7.176634374693938e-06,1.0157028125925814e-05
