metric,bayes_median,bayes_q16,bayes_q84,legacy_value,legacy_std,delta
Vp,18.66995015818902,17.724138946836582,19.205118969730556,15.9092605,0.3338485000000002,2.760689658189021
Te,3.2540549370253844,3.01142246973292,3.393302994198791,1.410805865317942,0.023744122097377536,1.8432490717074423
ne,1.9261338690792947e+17,1.5770536600997315e+17,2.1666784627138496e+17,1.3009530496659125e+17,2.469389162691797e+16,6.251808194133822e+16
n_qn,1.9261338690792947e+17,1.5770536600997315e+17,2.1666784627138496e+17,7.727467761810718e+16,9.19912723424086e+16,1.1533870928982229e+17
p,2.1704585376837486,2.019124002699243,2.4158602017303257,,,
