Row,Value,Uncertainty,Unit
Vf,6.45483555642498,0.0551430000000002,V
Vp,41.498280107244,0.0666415212538324,V
Te,6.92707233289685,0.0374211425002628,eV
n,NaN,NaN,m-3
ne,NaN,NaN,m-3
ni,NaN,NaN,m-3
Ie_sat,NaN,NaN,A
Ii_sat,-0.000384487064067261,7.72268658984626e-05,A
