Row,Value,Uncertainty,Unit
Vf,6.80969180301821,0.057641,V
Vp,11.348119,0.218467032460277,V
Te,1.07905637184302,0.0134889324972448,eV
n,1.25223839315467e+17,1.85531297141743e+17,m-3
ne,4.14416786486767e+16,NaN,m-3
ni,3.03822555311202e+17,0,m-3
Ie_sat,0.00312093020826533,NaN,A
Ii_sat,-0.000351716875779746,7.00036141254338e-05,A
