parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,10.18510830753952,10.18510830753952,0.0,10.18510830753952,10.18510830753952,10.18510830753952,10.18510830753952
Vp,19.969134874411626,19.773380026178337,0.43046923269175996,19.369068127141773,20.152225249861615,18.98302931212293,20.152225249861615
Ie_sat,0.002587743586976978,0.0025858816804271846,4.3096491248434755e-05,0.0025734212850973552,0.002621342175547854,0.0024984984040734293,0.0026467426337197612
ne,1.11349567925159e+16,1.1040908269859644e+16,465247907979437.7,1.0779300362609124e+16,1.1200583388111058e+16,9814279923639180.0,1.2001543126222114e+16
ni,,,,,,,
Te,2.992134477054069,2.8884469366898093,0.5272811242653357,2.261184917613945,3.4239263784514247,1.854921298930098,3.4239263784514247
p,1.6108447525594567,1.555221108048784,0.2538939868445958,1.193322960581536,1.722347305466037,1.0587401156776506,1.91355766963069
I1,-6.049993100291207e-05,-6.249744156977453e-05,8.33000412291343e-06,-7.304675469037309e-05,-5.430872738532958e-05,-7.790399469043332e-05,-5.430872738532958e-05
I2,0.0008761550596937864,0.000948636654727245,0.00014406490817472944,0.0008212472743842451,0.001140707169569004,0.0008046649576280395,0.0012022527288459185
log10_sigma_I,-3.4806007916340294,-3.478343627443892,0.028359749560175805,-3.5069142475142616,-3.454997674295427,-3.509794505932075,-3.4175088476009576
sigma_I,0.0003306733600453359,0.0003330994589295905,2.2300627883788866e-05,0.00031123308136133564,0.0003507537522804202,0.00030918661753510436,0.00038239926643855726
