metric,bayes_median,bayes_q16,bayes_q84,legacy_value,legacy_std,delta
Vp,19.23834795513615,18.83042926485451,19.712577303058545,16.409765,0.3308980000000048,2.8285829551361488
Te,3.3762842346041673,3.2559097728150124,3.502627330670394,1.8880787845086666,0.05,1.4882054500955006
ne,1.9051811311697696e+17,1.7488228404546262e+17,2.177381975393883e+17,1.0868114732876608e+17,1.9101356884946704e+16,8.183696578821088e+16
n_qn,1.9051811311697696e+17,1.7488228404546262e+17,2.177381975393883e+17,1.4135579296014984e+18,1.8453744427158623e+18,-1.2230398164845215e+18
p,1.8227683354775461,1.733615380277144,1.933973913435841,,,
