,Value,Uncertainty,Unit
Vf,9.875105614095355,0.05683966666666625,V
Vp,16.142234600000002,0.08466367357160946,V
Te,1.400745887144743,0.0073959955410003424,eV
n,8.143946404093816e+16,1.0050964447804459e+17,m-3
ne,1.4214210237014872e+17,3976412827567206.0,m-3
ni,2.0420709337736498e-11,0.0,m-3
Ie_sat,0.0018372000000000004,5.116613551784505e-05,A
Ii_sat,-0.0003000301953153396,8.4533132165573e-05,A
