,Value,Uncertainty,Unit
Vf,10.18510830753952,0.07346033333333382,V
Vp,15.408548,0.07346033333333382,V
Te,1.2723850247687276,0.00515132727505548,eV
n,7.235302979070286e+16,8.770918140893648e+16,m-3
ne,1.240395138931601e+17,5093922259374036.0,m-3
ni,3.6084448572199606e-11,0.0,m-3
Ie_sat,0.001528,6.267399257562072e-05,A
Ii_sat,-0.0005311211776073277,0.00015787571973591082,A
