comparison,candidate_model,reference_model,log_bayes_factor,log10_bayes_factor,bayes_factor
oml_vs_linear,oml,linear,-142.01850013286025,-61.67785093587744,2.099660432343338e-62
transitional_vs_linear,transitional,linear,-154.2138177275732,-66.97421007231891,1.0611821292733675e-67
