Vp,ne,Te,p,I1,I2,log10_sigma_I,sigma_I
17.539820843944103,1.6223188306590797e+17,2.8867982994277055,2.385496541246983,-6.625944294448311e-06,-3.078105286643054e-05,-4.739127243777645,1.823361398077337e-05
18.87696969845481,2.1487861564187843e+17,3.333248134855595,2.9141742947951843,-6.688224720557403e-06,-2.01922535661217e-05,-4.7188537570115905,1.910496484972819e-05
16.74458536536418,1.2533366433434016e+17,2.7360501414959573,2.9325975334139245,-6.916550379292203e-06,-2.6516381583591847e-05,-4.703832091717526,1.9777341300341783e-05
18.633955737274285,2.0359288183793293e+17,3.247927635723961,2.818104492616593,-6.690936807110894e-06,-2.0441393410872838e-05,-4.724350259535053,1.886469293425366e-05
17.185123299696052,1.391997429619639e+17,2.8844243464474504,2.732600415419099,-6.967084970785809e-06,-2.5340087438298353e-05,-4.74725266562105,1.7895644110102708e-05
16.64112756618231,1.212357445409609e+17,2.7383338554190146,2.977641220906449,-6.654838767802427e-06,-3.561238760603144e-05,-4.7494038194965515,1.7807222306884497e-05
16.64112756618231,1.212357445409609e+17,2.7383338554190146,2.977641220906449,-6.654838767802427e-06,-3.561238760603144e-05,-4.7494038194965515,1.7807222306884497e-05
19.176830778034226,2.4081398490171603e+17,3.3699244270687805,2.531065142913758,-5.990164003316775e-06,-3.781892276838797e-05,-4.698005738190575,2.0044455431085385e-05
16.376719255460042,1.1137427216553235e+17,2.625257635710751,2.9821265195231157,-7.734149785261469e-06,-1.6600120119489303e-05,-4.745971609146989,1.7948509566311894e-05
17.65750733031104,1.5585482722266554e+17,3.0326482342794328,2.986504587278101,-6.989188540688701e-06,-1.9519437881761192e-05,-4.700177584897814,1.9944466103358967e-05
18.254510283345347,1.8903119439747757e+17,3.1132867473932127,2.6964077475495043,-7.686542344526514e-06,-8.726472334671942e-06,-4.702006864578319,1.986063524841627e-05
17.24700744587328,1.4729027887258765e+17,2.887577445104128,2.5188754552324313,-5.170733385436344e-06,-5.651053183820809e-05,-4.649649817893695,2.2405270013281346e-05
17.539820843944103,1.6223188306590797e+17,2.8867982994277055,2.385496541246983,-6.625944294448311e-06,-3.078105286643054e-05,-4.739127243777645,1.823361398077337e-05
18.707278572609678,2.0864223001728573e+17,3.271082658137125,2.7081911802524212,-5.518659977990698e-06,-4.4363226354333235e-05,-4.693148783242953,2.026988182628498e-05
18.324183996978675,1.867344588952927e+17,3.2071029949553713,2.6053310150562563,-5.361786398456504e-06,-4.433394106863331e-05,-4.752727362636117,1.7671468356049667e-05
18.234801577707124,1.8089531616475667e+17,3.1816670763423938,2.763561861135612,-6.935266509968839e-06,-1.952706026383394e-05,-4.742068155329321,1.8110558550820254e-05
17.13800040778168,1.3949986842384272e+17,2.8460828250564107,2.6943876883029905,-6.736045447441625e-06,-3.101801168129206e-05,-4.789363075974624,1.6241903432319276e-05
17.883194530910227,1.689306446301689e+17,3.0589365964167845,2.500010816865354,-6.453888341526222e-06,-3.0890157617532304e-05,-4.712525618586407,1.9385382801929093e-05
17.416282633837522,1.5081133185208205e+17,2.928021577834116,2.921570923285234,-7.016825475609622e-06,-2.291659816555658e-05,-4.754097450691783,1.761580723586172e-05
16.693323082404266,1.205489687724713e+17,2.782479460142426,2.7836486482055203,-6.304945108667162e-06,-4.0149830026911526e-05,-4.720488655643391,1.9033179541546397e-05
16.64112756618231,1.212357445409609e+17,2.7383338554190146,2.977641220906449,-6.654838767802427e-06,-3.561238760603144e-05,-4.7494038194965515,1.7807222306884497e-05
18.09951082287377,1.8517935559852682e+17,3.0679707326709513,2.407321371355464,-6.238286826734771e-06,-3.4963006843507366e-05,-4.709834570015527,1.950587469441786e-05
16.358575392309735,1.121964335375534e+17,2.6258999889639156,2.9697296947152196,-7.607000589808554e-06,-1.9231587329356786e-05,-4.740381699711779,1.818102233299084e-05
17.295289055065542,1.50211865690026e+17,2.837266917815099,2.4292370435602537,-6.497298132703152e-06,-3.506942269953378e-05,-4.681347733147195,2.0828225301806475e-05
17.119589061306968,1.3866629075309338e+17,2.8337449839037596,2.759214741123766,-6.883531632524199e-06,-2.545251972697199e-05,-4.709669450352158,1.9513292278460895e-05
16.596900075205557,1.2455297318262118e+17,2.6553615975589544,2.6974324971433177,-6.439553634366227e-06,-3.9436062278675604e-05,-4.725721341915563,1.880523037212719e-05
17.119589061306968,1.3866629075309338e+17,2.8337449839037596,2.759214741123766,-6.883531632524199e-06,-2.545251972697199e-05,-4.709669450352158,1.9513292278460895e-05
17.416282633837522,1.5081133185208205e+17,2.928021577834116,2.921570923285234,-7.016825475609622e-06,-2.291659816555658e-05,-4.754097450691783,1.761580723586172e-05
16.81210078020346,1.2850744132709427e+17,2.764015574164445,2.7938411710200977,-6.854060560892712e-06,-3.1800520660419523e-05,-4.7207357144162705,1.9022355142620585e-05
18.87696969845481,2.1487861564187843e+17,3.333248134855595,2.9141742947951843,-6.688224720557403e-06,-2.01922535661217e-05,-4.7188537570115905,1.910496484972819e-05
19.478951594647576,2.422548168112987e+17,3.5343300159068396,2.911799433016073,-5.834299579192642e-06,-3.19108883676221e-05,-4.672215992627514,2.127080897473359e-05
16.358575392309735,1.121964335375534e+17,2.6258999889639156,2.9697296947152196,-7.607000589808554e-06,-1.9231587329356786e-05,-4.740381699711779,1.818102233299084e-05
17.855669474585184,1.6953794929548893e+17,3.065389660255362,2.691182605795911,-6.233581809205434e-06,-3.486887899400992e-05,-4.739312820880465,1.8225824293010492e-05
16.358575392309735,1.121964335375534e+17,2.6258999889639156,2.9697296947152196,-7.607000589808554e-06,-1.9231587329356786e-05,-4.740381699711779,1.818102233299084e-05
18.841367531449535,2.1115479890799242e+17,3.3242506349505003,2.8499444964751404,-6.433228384816292e-06,-2.5727892374465683e-05,-4.722705174608878,1.8936286922194418e-05
18.932740614842345,2.286578428664943e+17,3.2744470790811917,2.5000277325602616,-5.579738824114757e-06,-4.090477645605009e-05,-4.744433138494365,1.8012204187366437e-05
17.17050390394396,1.4190140186502166e+17,2.8408942332781315,2.829346828768508,-6.665854430941789e-06,-3.212297340519921e-05,-4.763035918296356,1.72569516258397e-05
18.735430781928667,2.0552279428547075e+17,3.310553782195747,2.8212514700975024,-6.2796775712533216e-06,-2.666276191960054e-05,-4.7237243078519535,1.8891902352357314e-05
18.501818142844506,1.9293314963356237e+17,3.2683651849162176,2.9862769737632666,-6.429198915351817e-06,-2.656486680293474e-05,-4.705579793531797,1.9697912614674398e-05
