Vp,ne,Te,p,I1,I2,log10_sigma_I,sigma_I
16.265427646394926,9.889275326881077e+16,2.9533435150058676,2.9076727154855666,-6.0292880452102486e-06,-4.5937421286345453e-05,-4.649448893763505,2.2415638095528233e-05
15.647101381951003,8.495114622412446e+16,2.7815739472595107,2.706188460105647,-6.225089067572113e-06,-5.02547779578557e-05,-4.629329069073078,2.3478531559588817e-05
16.214773863119586,9.654212163883405e+16,2.981931312044786,2.712686594556025,-5.629112794474332e-06,-5.547217185981716e-05,-4.6467552724632455,2.25550984739592e-05
16.36405444311667,9.845288007317786e+16,3.1284236560613796,2.7223334504537453,-4.6115919506132695e-06,-7.685623497630419e-05,-4.6001212130281965,2.5111854535148657e-05
16.766844620902226,1.1034179360604421e+17,3.1406168389307365,2.9190433717657696,-5.338340922474952e-06,-5.356194481595175e-05,-4.637263832867382,2.305346270845962e-05
16.200331047797444,9.86170621524028e+16,2.9365235598256048,2.2841493029009285,-5.449402288025627e-06,-5.958930150782443e-05,-4.582305993701175,2.6163389476245803e-05
15.95316460908971,9.119719657881667e+16,2.906592880481665,2.9378657176717526,-5.485736840556837e-06,-5.4642061197601385e-05,-4.622473380657942,2.3852099883766143e-05
16.153972523728704,9.86735036145318e+16,2.900824714620734,2.649741208064825,-5.7471471116386915e-06,-5.3222716675897785e-05,-4.627711084761659,2.356616506197062e-05
16.605762718520392,1.0659122723771309e+17,3.1260519944571925,2.8345700337937636,-4.6485401793211955e-06,-6.640782219140967e-05,-4.601631937744104,2.502465289234678e-05
16.243385938803897,9.709158520837707e+16,3.0593788962958537,2.7877772871676587,-4.633417870639981e-06,-7.074365317734886e-05,-4.61659604072967,2.417708622003382e-05
17.260848201265965,1.28222418713637e+17,3.2127242108287124,2.5300280238032835,-5.291255930157967e-06,-5.458259872119682e-05,-4.593336410755515,2.5507247091445905e-05
16.31055136147366,9.889303893956616e+16,3.009721857467764,2.9372005598675264,-6.173501142950105e-06,-4.964983553709841e-05,-4.620617449058071,2.395424851948002e-05
17.231168092967252,1.2517718350231062e+17,3.2186796155812827,2.8289448745832315,-6.0772197473616405e-06,-4.035579471246657e-05,-4.615600439123893,2.4232574738868972e-05
16.172087831132327,9.477739735658624e+16,3.0381322023286392,2.5714038370655383,-5.0673208989907405e-06,-6.676965154996974e-05,-4.594161713540501,2.545882093479829e-05
16.659375171054567,1.0779938000345349e+17,3.1286528334139803,2.9868986586509427,-5.393284284086635e-06,-5.948862826004979e-05,-4.597592092636775,2.5258520435529024e-05
16.101242615222727,9.382742778833518e+16,2.9433633925601947,2.945640034555377,-5.921561393058654e-06,-5.3328621455394146e-05,-4.608904456396462,2.4609089378653327e-05
16.265427646394926,9.889275326881077e+16,2.9533435150058676,2.9076727154855666,-6.0292880452102486e-06,-4.5937421286345453e-05,-4.649448893763505,2.2415638095528233e-05
15.67002187929768,8.479095457725822e+16,2.8034192253189696,2.34958565494939,-5.48562286240581e-06,-6.185369523623377e-05,-4.584056057931661,2.6058171742096046e-05
16.831793102262367,1.1275580008051342e+17,3.1887786489210814,2.8672471871238847,-5.291600384519919e-06,-5.643741859460462e-05,-4.576902090574794,2.6490972964561026e-05
18.163862620530633,1.527683333888608e+17,3.5494651715113714,2.756390359132852,-4.9906515224699445e-06,-5.641007801575511e-05,-4.630552104940474,2.341250564302032e-05
17.724159053472828,1.402350303480322e+17,3.371616412948097,2.7818950951831547,-5.9447862089519144e-06,-3.660160074476365e-05,-4.570809635344803,2.6865217728946307e-05
16.11729145799658,9.419366836456643e+16,2.9509652219527647,2.9267343141446145,-6.131738193181535e-06,-4.6598063475553064e-05,-4.597279534450713,2.527670532904438e-05
16.380153305842043,1.0190180215178882e+17,2.9750771875882016,2.770190498446346,-6.059695809797791e-06,-4.714161369282627e-05,-4.636011308544555,2.3120045873676408e-05
16.174761547886188,9.51167241144678e+16,3.0138895833146915,2.749455195864262,-5.855565164989492e-06,-5.541661004731038e-05,-4.570157727926626,2.690557464494286e-05
15.622425778646251,8.391128478557555e+16,2.745791322932633,2.929852681635979,-6.114878274694822e-06,-4.3395168429098685e-05,-4.660896634570664,2.1832494801900625e-05
16.671837603084334,1.059967675023043e+17,3.107518821135538,2.6611027085779826,-5.63854795937826e-06,-5.255015321546479e-05,-4.6319656141447165,2.333642824305715e-05
16.706867233271808,1.1020759725750963e+17,3.087686216601284,2.867592289227267,-5.657663874553262e-06,-4.967129395010324e-05,-4.589713401087218,2.5720925940175744e-05
16.831165120190395,1.118745259778293e+17,3.180657802522283,2.9621283777493423,-5.457047073446322e-06,-5.5589759327642416e-05,-4.6479187673355895,2.2494753198742473e-05
15.819559149249516,8.844205293763438e+16,2.9020025400878326,2.861034804777432,-5.1350844764066345e-06,-6.270129802378281e-05,-4.651230885591,2.2323850961070268e-05
16.332510157677593,9.958580215384067e+16,3.0104140835267046,2.8337474502054327,-5.868439836868768e-06,-4.854834742696636e-05,-4.661446973553758,2.1804846135358214e-05
15.622425778646251,8.391128478557555e+16,2.745791322932633,2.929852681635979,-6.114878274694822e-06,-4.3395168429098685e-05,-4.660896634570664,2.1832494801900625e-05
16.51944798336848,1.0311895715578059e+17,3.0745805771915813,2.97215064193225,-5.771278772536965e-06,-4.629925842012002e-05,-4.641095123538428,2.285098243395334e-05
16.831165120190395,1.118745259778293e+17,3.180657802522283,2.9621283777493423,-5.457047073446322e-06,-5.5589759327642416e-05,-4.6479187673355895,2.2494753198742473e-05
17.746606910673897,1.3583668482133336e+17,3.473361587302767,2.894374227673408,-4.7994279231844015e-06,-6.047683612167738e-05,-4.586084845535201,2.593672602197384e-05
18.39362996100842,1.624573786462745e+17,3.5689246937147656,2.94395333838502,-5.285859736378824e-06,-4.632011643345736e-05,-4.5464881424342085,2.8412657591573396e-05
16.822514494427175,1.1063674592250651e+17,3.21566279433749,2.7313536552744395,-4.3600736059014496e-06,-7.783266883980809e-05,-4.557621225078677,2.7693559180173862e-05
16.811044319246015,1.1158055718843085e+17,3.160897584201886,2.983533551382291,-5.887603382580221e-06,-4.323475585038018e-05,-4.602162855591591,2.4994079358189858e-05
15.80832211678886,8.972714180653288e+16,2.8263682576948392,2.3118968958132156,-5.679048118053241e-06,-5.538671605627432e-05,-4.571663710428548,2.6812437029883165e-05
16.632966955801596,1.0718915403116874e+17,3.079059395933167,2.8865984179269146,-5.981233555201176e-06,-4.4586389926961484e-05,-4.652319020587743,2.226798804175355e-05
