,Value,Uncertainty,Unit
Vf,11.270112423713709,0.05710233333333292,V
Vp,17.5004845,0.4182094999999997,V
Te,1.6381521514691435,0.07231688304005761,eV
n,5.444546608241081e+16,7.674968362602925e+16,m-3
ne,1.0854044349177482e+17,2.529693852383285e+16,m-3
ni,7.321149746552612e-11,0.0,m-3
Ie_sat,0.0015171297830458114,0.0003520000000000001,A
Ii_sat,-0.001091124824351863,0.00033093784974212346,A
