Vp,ne,Te,p,I1,I2,log10_sigma_I,sigma_I
11.632326325603199,4.1431078894546106e+17,1.9005370004659015,2.5344244360450174,-9.53098918607875e-06,-0.00010740093926873279,-4.5965668818622145,2.5318217017295885e-05
12.131561641290611,4.916528411896158e+17,2.0602461049428404,2.6637594471328057,-9.96433944930276e-06,-9.597659841698372e-05,-4.532488409015555,2.934347818388836e-05
11.872271897184419,4.543396254350486e+17,1.9640349441183143,2.6792179017043773,-1.094457910809951e-05,-8.771563495516346e-05,-4.574188810115187,2.6656994960924045e-05
11.632326325603199,4.1431078894546106e+17,1.9005370004659015,2.5344244360450174,-9.53098918607875e-06,-0.00010740093926873279,-4.5965668818622145,2.5318217017295885e-05
12.017919129750446,4.672128353363014e+17,2.028507649621436,2.9378268026433823,-1.1784708702254143e-05,-6.912933785594225e-05,-4.574630281422836,2.6629911220389696e-05
11.964605428056917,4.6008121487905715e+17,2.006740047623488,2.927470002495195,-1.1488235830340318e-05,-7.089480274265897e-05,-4.502290033551416,3.1456468647824586e-05
11.598279769657562,4.051035002055318e+17,1.8869556918904502,2.554221730014292,-1.0817144808161327e-05,-8.648242636734652e-05,-4.556056224046135,2.7793534275645196e-05
12.000193239563004,4.6422322352553126e+17,2.024328231362227,2.852138044677535,-1.0567754915668994e-05,-8.725226056701882e-05,-4.587802020092601,2.5834376225380694e-05
11.454983412258883,3.732461941082346e+17,1.8852951333073178,2.8015791923383033,-1.1193942393730814e-05,-8.705638129348145e-05,-4.5522359836245805,2.8039096568918308e-05
11.474957017665712,3.7957086642199744e+17,1.8883940092126936,2.8214502264395707,-8.903279269211048e-06,-0.00011155739992388045,-4.571746978954172,2.680729669729297e-05
12.449019422468073,5.478577806122256e+17,2.1477062466782626,2.9019480655929284,-1.083957522025089e-05,-8.344418998481457e-05,-4.599024116503632,2.5175371242810302e-05
12.117197013573858,4.924684931776482e+17,2.049237134550477,2.8696360571593016,-1.1129424592030718e-05,-7.972333104848059e-05,-4.52299997098956,2.9991627193287328e-05
11.564911253503006,3.9467840149484224e+17,1.9116061760105214,2.9439883727031546,-9.635617526998746e-06,-0.00010990196025989149,-4.564241905273127,2.727458145045762e-05
11.942005117751483,4.574960161820267e+17,2.0197820980429917,2.694237030395157,-8.871357923336074e-06,-0.00011087355756888434,-4.490384061611684,3.233076183768076e-05
12.04674761279382,4.8622920879945517e+17,2.0204504331357693,2.7817559304393518,-1.0316424811210529e-05,-8.694977088714514e-05,-4.512021665953198,3.075943359170804e-05
12.089323035855942,4.8561095525871546e+17,2.0455710919958534,2.8782243605504503,-1.070803384012266e-05,-8.921573865049853e-05,-4.601411845659632,2.503733811882073e-05
11.844915027599416,4.427928457713371e+17,1.9751302226190544,2.940733532193236,-9.68144429995912e-06,-9.385912704809249e-05,-4.548258390086868,2.8297079172350618e-05
12.13703175700194,5.093206632333502e+17,2.032256220106868,2.67880926699227,-9.748045659347792e-06,-9.947789473316662e-05,-4.50426881690696,3.131346902637644e-05
11.564911253503006,3.9467840149484224e+17,1.9116061760105214,2.9439883727031546,-9.635617526998746e-06,-0.00010990196025989149,-4.564241905273127,2.727458145045762e-05
11.893912299613582,4.5733561704607264e+17,1.968511472864417,2.747417281591293,-9.725030836772296e-06,-0.00010065234643445373,-4.579502730783706,2.63328138591388e-05
11.474957017665712,3.7957086642199744e+17,1.8883940092126936,2.8214502264395707,-8.903279269211048e-06,-0.00011155739992388045,-4.571746978954172,2.680729669729297e-05
11.928726334121874,4.449894325151511e+17,2.0421016961378893,2.838744247523186,-8.677254761692982e-06,-0.00011656256890050717,-4.483192353590497,3.287060112830214e-05
12.78121608213305,6.153070039340677e+17,2.2557848929417537,2.891251917002675,-9.183598863781112e-06,-0.00010398655070238683,-4.572371846663334,2.6768753796614265e-05
12.021419817111852,4.66167547320547e+17,2.0482167486875875,2.8378152492690627,-8.704186687423553e-06,-0.00011768514401514982,-4.545225229526673,2.849540083824444e-05
11.968618836351283,4.646545215085757e+17,2.0100128152095715,2.6592526725662835,-9.373597636118782e-06,-0.00010721831931016085,-4.59722337556385,2.527997408671211e-05
12.13703175700194,5.093206632333502e+17,2.032256220106868,2.67880926699227,-9.748045659347792e-06,-9.947789473316662e-05,-4.50426881690696,3.131346902637644e-05
12.449019422468073,5.478577806122256e+17,2.1477062466782626,2.9019480655929284,-1.083957522025089e-05,-8.344418998481457e-05,-4.599024116503632,2.5175371242810302e-05
11.749427827091633,4.263386989899466e+17,1.9651081352832882,2.983214928809351,-9.415533035957635e-06,-9.928406495132366e-05,-4.538807021349974,2.8919646407054767e-05
11.719370494975724,4.308293573622019e+17,1.9182800659214605,2.757574083468329,-1.067082535343225e-05,-9.590194429298995e-05,-4.5504328331610395,2.81557543093134e-05
11.447294748148572,3.901951240473295e+17,1.8214196966294116,2.7953963970715927,-1.0907804649876998e-05,-8.424820573478195e-05,-4.498016164766139,3.176755827216223e-05
11.700632624699987,4.2102508300969197e+17,1.9247733185045033,2.6430004400982106,-1.0099693175714486e-05,-0.0001008501956012986,-4.552157755112757,2.8044147644748188e-05
11.964605428056917,4.6008121487905715e+17,2.006740047623488,2.927470002495195,-1.1488235830340318e-05,-7.089480274265897e-05,-4.502290033551416,3.1456468647824586e-05
11.937693581260865,4.7385154489551424e+17,1.962346861457388,2.614413414575483,-1.080861635950267e-05,-9.261297691503731e-05,-4.54688675535195,2.838659127750404e-05
11.72979654010912,4.3139318744276954e+17,1.9202000625453435,2.590585392932197,-1.0113213236004337e-05,-8.928185451797382e-05,-4.51204613796995,3.075770038026348e-05
11.700632624699987,4.2102508300969197e+17,1.9247733185045033,2.6430004400982106,-1.0099693175714486e-05,-0.0001008501956012986,-4.552157755112757,2.8044147644748188e-05
12.437663161103378,5.627587851719825e+17,2.111055286885253,2.914124250014594,-1.1186967709099754e-05,-7.16030890462252e-05,-4.549651494853082,2.820645486285948e-05
11.449732244720671,3.9196963819438906e+17,1.8226520836472235,2.4660622735312283,-1.0373303557961906e-05,-8.938127775589069e-05,-4.511613121689558,3.078838284911283e-05
11.36489481740758,3.762749779304658e+17,1.8255921267628192,2.5466579147819632,-1.004329769606154e-05,-0.0001047933716335249,-4.533422482438986,2.928043453491171e-05
12.066646669116137,4.8592105086877446e+17,2.0328014069716347,2.8051359070640016,-8.715963664474241e-06,-0.00011192073166373454,-4.6258228116335065,2.366885169056946e-05
11.632326325603199,4.1431078894546106e+17,1.9005370004659015,2.5344244360450174,-9.53098918607875e-06,-0.00010740093926873279,-4.5965668818622145,2.5318217017295885e-05
