parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,11.314291432561918,11.314291432561918,0.0,11.314291432561918,11.314291432561918,11.314291432561918,11.314291432561918
Vp,16.40608356233174,16.406413683153634,0.049108708368015896,16.357167631872265,16.466704356594988,16.320809683199577,16.490559185779407
Ie_sat,0.0013515537150966363,0.0013525096829500346,2.1087802300926066e-05,0.0013317114465338448,0.0013788728546060363,0.0013169632004066793,0.0013896902881297883
ne,7214580460655980.0,7207047819462910.0,99063993010686.36,7151847302126573.0,7281444755159160.0,6961084945755722.0,7435538222399344.0
ni,,,,,,,
Te,2.4024566855720826,2.4137949619614663,0.0472200931208826,2.3695055452382006,2.474203987148319,2.346879506391406,2.4877300600331766
p,1.9791632492083213,1.962177420060046,0.03786376134018543,1.9274463922010094,1.9874649828882163,1.8438170417952269,1.995448230537399
I1,-1.0555587288615075e-05,-1.0425974547592364e-05,5.679310494776713e-07,-1.0968152487440905e-05,-9.669785715448397e-06,-1.1431686238902732e-05,-9.643994108405167e-06
I2,-4.723491866452656e-05,-4.804696923438757e-05,9.95925607472073e-06,-6.193425946920267e-05,-4.0292000519328016e-05,-6.235758192506707e-05,-3.139618177675288e-05
log10_sigma_I,-4.787461273058539,-4.788933595811516,0.051991052390530555,-4.850400553269319,-4.727990629334687,-4.852515388960267,-4.690539936338618
sigma_I,1.6315764175922867e-05,1.637322229984518e-05,1.9948224616269967e-06,1.411235350567874e-05,1.87134794954592e-05,1.4044980119034879e-05,2.0392143127163242e-05
