parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,6.454835556424977,6.454835556424977,0.0,6.454835556424977,6.454835556424977,6.454835556424977,6.454835556424977
Vp,11.035251256250168,11.02728958947962,0.019151186827591458,11.007565838633708,11.042538223787577,10.984615359626057,11.051970564872558
Ie_sat,0.004428935177007861,0.004416517269085309,2.9870337642413066e-05,0.004385753896420933,0.004440300748379036,0.00434995775682994,0.004455012484810998
ne,4.7759282791606374e+17,4.855210197079861e+17,2.4748913907217696e+16,4.598285730448974e+17,5.1324088563536134e+17,4.4783830293587904e+17,5.264875941968371e+17
ni,,,,,,,
Te,0.26936328465792003,0.2760199107068103,0.01757199585481477,0.26282085896669566,0.30351260401184355,0.2530144261721629,0.3116438460898913
p,1.0364031427035427,1.0493532600209399,0.048604691134866214,1.0056378512052675,1.1311013573902673,1.001308002102562,1.1402602365621255
I1,2.5931831107435348e-06,-2.576466844162923e-06,2.3390598703412867e-05,-2.9192797252492256e-05,1.9185630150129356e-05,-4.7467632942820536e-05,4.573694019426597e-05
I2,-0.00033502504543627895,-0.00026867505312192213,0.0002676794995984164,-0.0005521810499387395,5.723065668604724e-05,-0.0006730087050875189,0.00027319114330579935
log10_sigma_I,-2.6644129901123836,-2.664705900562121,0.010485148055792938,-2.6747436822794395,-2.652566920174004,-2.6841974116668132,-2.6480330951300353
sigma_I,0.00216564371752046,0.0021647974924244385,5.2122653115973033e-05,0.002114736775205881,0.002225528088093856,0.0020692077084543776,0.002248883224614605
