,Value,Uncertainty,Unit
Vf,10.549716207847116,0.0560453333333335,V
Vp,17.415123,0.0560453333333335,V
Te,1.600781789905551,0.004108891470042338,eV
n,8.863745017475035e+16,1.03989290246067e+17,m-3
ne,1.4706306460754016e+17,3024785828039850.0,m-3
ni,3.927291113390184e-11,0.0,m-3
Ie_sat,0.002032,4.171263283963417e-05,A
Ii_sat,-0.0005813594231127268,0.0001665616330649302,A
