comparison,candidate_model,reference_model,log_bayes_factor,log10_bayes_factor,bayes_factor
oml_vs_linear,oml,linear,-182.5505367221574,-79.28069076690988,5.239733914490592e-80
transitional_vs_linear,transitional,linear,-199.39530864386973,-86.59628226142839,2.5334815072362734e-87
