parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,10.063235863265488,10.063235863265488,0.0,10.063235863265488,10.063235863265488,10.063235863265488,10.063235863265488
Vp,16.105593610368317,16.125796623585096,0.08033390636083576,16.08871497297683,16.130797109075644,16.074694564648215,16.39107648018908
Ie_sat,0.0015221317568785897,0.0015307273509364773,3.332194454865833e-05,0.0015141677238106309,0.0015340238007964632,0.0015080229190837888,0.0016406251975326447
ne,7547352905160580.0,7589404265418834.0,153744125091732.28,7474478999452264.0,7705119082523608.0,7423148440076370.0,7834329678366174.0
ni,,,,,,,
Te,2.761447464845203,2.7629252463536296,0.04066405534747179,2.7350251510567505,2.780713481141555,2.7188229911249686,2.8815069937869513
p,1.8298849373455082,1.8142341836344194,0.09014347455917499,1.6976160885489948,1.9284244517957954,1.6600464589871713,1.9585857892366276
I1,-8.899301374280116e-06,-8.890796865303216e-06,4.182291778765298e-07,-9.326749794148033e-06,-8.334687329073238e-06,-9.432144640679398e-06,-8.181352576145925e-06
I2,-7.081408409894199e-05,-7.269575015309247e-05,6.574062083290123e-06,-8.150749117854471e-05,-6.516468791345834e-05,-8.682962795181186e-05,-6.50825128519425e-05
log10_sigma_I,-4.843797115029078,-4.847266930949189,0.03305391504201784,-4.863223893541121,-4.822520300151465,-4.935449358168447,-4.8031995270531205
sigma_I,1.4336311340653663e-05,1.4253664877312546e-05,1.0433680190051487e-06,1.3701752122420092e-05,1.5048031784052143e-05,1.1602475013873566e-05,1.5735640917987964e-05
